Lepirudin	DB00001
Sodium_acetate	DB09395
Isosorbide	DB09401
Iocetamic_acid	DB09403
Magnesium_chloride	DB09407
Magnesium_acetate	DB09409;DB13996
Monopotassium_phosphate	DB09413
Dipotassium_phosphate	DB09414
Potassium_perchlorate	DB09418
Xylose	DB09419
Iodine-123	DB09420
Protirelin	DB09421
Soybean_oil	DB09422
Safflower_oil	DB09446
Sodium_phosphates	DB09449
Sodium_carbonate	DB09460
Glycerol	DB09462
Sodium_sulfate	DB09472
Indium-111	DB09473
Enalaprilat	DB09477
Magnesium_carbonate	DB09481
Potassium_lactate	DB09483
Sodium_monofluorophosphate	DB09484
Iotrolan	DB09487
Acrivastine	DB09488
Cetyl_alcohol	DB09494
Avobenzone	DB09495
Octyl_methoxycinnamate	DB09496
Thiosulfuric_acid	DB09499
Ferric_ammonium_citrate	DB09501
Fludeoxyglucose_(18F)	DB09502
Urea_breath_test	DB09513;DB09510
Talc	DB13249;DB09511
Simeticone	DB09512
Mequinol	DB09516
Sodium_ferric_gluconate_complex	DB09517
Hydroquinone	DB09526
Secretin	DB09527
Ecamsule	DB09534
Octocrylene	DB09535
Titanium_dioxide	DB09536
Omega-3_acid_ethyl_esters	DB09539
Methyl_salicylate	DB09543
Desoxyribonuclease	DB09551
Thonzonium_bromide	DB09552
Dexchlorpheniramine	DB09555;DB13679
Necitumumab	DB09559
Insulin_degludec	DB09564
Olive_oil	DB09567
Ixazomib	DB09570
Levomethamphetamine	DB09571
Clostridium_tetani	DB09876
Corynebacterium_diphtheriae	DB09877
Rotavirus_vaccine	DB10276
Zoster_vaccine	DB13924;DB10318
Ginger	DB14690;DB10344
House_dust	DB10345
Dermatophagoides_farinae	DB10400
Dermatophagoides_pteronyssinus	DB10401
Cotton_seed	DB10408
Orris	DB10413
Rabbit	DB10415
Periplaneta_americana	DB10417
Blatella_germanica	DB10418
Solenopsis_invicta	DB10419
Acremonium_strictum	DB10423
Alternaria_alternata	DB10424
Aspergillus_fumigatus	DB10425
Aspergillus_niger	DB10426
Botrytis_cinerea	DB10428
Candida_albicans	DB10429
Chaetomium_globosum	DB10430
Cladosporium_cladosporioides	DB10431
Cladosporium_sphaerospermum	DB10432
Cochliobolus_sativus	DB10433
Epicoccum_nigrum	DB10434
Helminthosporium_solani	DB10436
Mucor_plumbeus	DB10437
Ustilago_maydis	DB10443
Ustilago_tritici	DB10444
Stemphylium_solani	DB10445
Trichophyton_mentagrophytes	DB10446
Saccharomyces_cerevisiae	DB10447
Aspergillus_oryzae	DB10448
Aspergillus_terreus	DB10450
Acacia	DB10451
Almond	DB10500
Apple	DB10501
Apricot	DB10502
Asparagus	DB10503
Avocado	DB10504
Banana	DB10505
Barley	DB10506
String_bean	DB10508
Beef	DB10509
Brazil_nut	DB10510
Broccoli	DB10511
Buckwheat	DB10512
Cabbage	DB10513
Cantaloupe	DB10514
Carrot	DB10515
Casein	DB10516
Celery	DB10517
Cherry	DB10518
Chicken	DB10519
Cinnamon	DB10520
Coconut	DB10523
Coffee_bean	DB10525
Crab	DB10526
Cucumber	DB10527
Egg_white	DB10528
Egg	DB10529
Egg_yolk	DB10530
Flounder	DB10531
Garlic	DB10532
Grape	DB10533
Grapefruit	DB10534
Karaya_gum	DB10535
Honeydew_melon	DB10536
Lamb	DB10537
Lemon	DB10538
Lettuce	DB10539
Lima_bean	DB10540
Lobster	DB10541
Goat_milk	DB10542
Cow_milk	DB10543
Cultivated_mushroom	DB10544
Mustard_seed	DB10545
Oat	DB10546
Black_olive	DB10547
Onion	DB10548
Orange	DB10549
Oyster	DB10550
Pea	DB10551
Peach	DB10552
Peanut	DB10553
Pear	DB10554
Pecan	DB10555
Green_bell_pepper	DB10556
Black_pepper	DB10557
Pineapple	DB10558
Pistachio	DB10559
Plum	DB10560
Pork	DB10561
Potato	DB10562
Rice	DB10563
Rye	DB10564
Sesame_seed	DB10566
Shrimp	DB10567
Soybean	DB10568;DB14101
Spinach	DB10569
Squash	DB10570
Strawberry	DB10571
Corn	DB10572
Tomato	DB10573
Tuna	DB10574
Turkey	DB10575
Vanilla	DB10576
English_walnut	DB10577
Watermelon	DB10578
Wheat	DB10579
Tea_leaf	DB10580
Khuskia_oryzae	DB10581
Duck	DB10610
Veal	DB10612
Bluefish	DB10613
Common_carp	DB10614
Haddock	DB10615
Pacific_halibut	DB10616
Herring	DB10617
Mackerel	DB10618
Northern_pike	DB10619
Red_snapper	DB10620
Atlantic_salmon	DB10621
European_pilchard	DB10622
Scallop	DB10623
Smelt	DB10624
Swordfish	DB10625
Trout	DB10626
White_fish	DB10627
Blackberry	DB10628
Blueberry	DB10629
Sour_cherry	DB10630
Cranberry	DB10631
Date	DB10632
Fig	DB10633
Wine_grape	DB10634
Raspberry	DB10636
Tangerine	DB10637
Artichoke	DB10638
Kidney_bean	DB10639
Beet	DB10640
Kiwi_fruit	DB10641
Brussels_sprout	DB10642
Cauliflower	DB10643
Eggplant	DB10644
Lentil	DB10645
Green_olive	DB10646
Parsley	DB10647
Sweet_potato	DB10648
Raphanus_sativus	DB10650
Rhubarb	DB10651
Turnip	DB10652
Cashew	DB10653
Hazelnut	DB10654
Macadamia_nut	DB10655
Nectarine	DB10656
Mango	DB10657
Papaya	DB10658
Leek	DB10659
Okra	DB10660
Parsnip	DB10661
Chickpea	DB10662
Black-eyed_pea	DB10663
Watercress	DB10664
Tragacanth	DB10667
Allspice	DB10669
Laurus_nobilis	DB10670
Caraway_seed	DB10671
Clove	DB10672
Dill	DB10673
Horseradish	DB10674
Licorice	DB10675
Nutmeg	DB10676
Oregano	DB10677
Paprika	DB10678
White_pepper	DB10679
Poppy_seed	DB10681
Spearmint	DB10683
Wheat_bran	DB10685
American_chestnut	DB10686
Hops	DB10687
Musca_domestica	DB10688
Ctenocephalides_canis	DB10690
Aedes_taeniorhynchus	DB10691
Ctenocephalides_felis	DB10693
Aspergillus_flavus	DB10694
Trichothecium_roseum	DB10696
Geotrichum_candidum	DB10699
Phoma_glomerata	DB10700
Stemphylium_sarciniforme	DB10702
Trichoderma_harzianum	DB10703
Ustilago_avenae	DB10704
Tilletia_caries	DB10705
Puccinia_graminis	DB10706
Cotton	DB10707
Flax_seed	DB10708
Tobacco_leaf	DB10710
Yellow_fever_vaccine	DB10805
Fusarium_oxysporum	DB10806
Candida_tropicalis	DB10807
Mucor_racemosus	DB10808
Penicillium_camemberti	DB10809
Penicillium_expansum	DB10810
Penicillium_italicum	DB10811
Penicillium_roqueforti	DB10812
Phoma_destructiva	DB10813
Rhizopus_stolonifer	DB10814
Passalora_fulva	DB10817
Cochliobolus_spicifer	DB10818
Myrothecium_verrucaria	DB10819
Neurospora_crassa	DB10821
Paecilomyces_variotii	DB10822
Microascus_brevicaulis	DB10823
Colletotrichum_coccodes	DB10824
Pleospora_herbarum	DB10825
Streptomyces_griseus	DB10826
Trichoderma_viride	DB10827
Trichophyton_schoenleinii	DB10828
Basil	DB10829
Mung_bean	DB10830
Microsporum_audouinii	DB10842
Microsporum_canis	DB10843
Apiospora_montagnei	DB10844
Phycomyces_blakesleeanus	DB10845
Stachybotrys_chartarum	DB10847
Syncephalastrum_racemosum	DB10848
Verticillium_albo-atrum	DB10850
White_catfish	DB10851
Carob	DB10852
Sweet_cherry	DB10853
Opilio_crab	DB10855
Atlantic_cod	DB10861
Red_currant	DB10862
Cumin	DB10864
Cladosporium_herbarum	DB10865
Acheta_domesticus	DB10866
Epidermophyton_floccosum	DB10870
Sporisorium_cruentum	DB10873
Goose	DB10874
Concord_grape	DB10875
Mustard_greens	DB10885
Red_bell_pepper	DB10890
Perch	DB10891
Pumpkin	DB10892
Chili_pepper	DB10897
Sitotroga_cerealella	DB10903
English_sole	DB10904
Safflower	DB10905
Sugarcane	DB10906
Sunflower_seed	DB10907
Trichophyton_rubrum	DB10915
Juniperus_virginiana	DB10917
Venison	DB10918
Black_walnut	DB10919
Cochliobolus_lunatus	DB10933
Haematonectria_haematococca	DB10934
Pleospora_betae	DB10936
Pleospora_tarda	DB10939
Neurospora_sitophila	DB10969
Trichophyton_tonsurans	DB10970
Thermomyces_lanuginosus	DB10973
Trichosporon_cutaneum	DB10974
Largemouth_bass	DB10976
Cocoa	DB10977
Blue_crab	DB10979
Barley_malt	DB10980
Radish	DB10981
Sage	DB10982
Thyme	DB10983
Peppermint	DB10984
Autologous_chondrocyte_implantation	DB10997
Anthrax_vaccine	DB11003
Poultry	DB11008
Yeast	DB11017
Aspergillus_nidulans	DB11022
Penicillium_digitatum	DB11023
Solenopsis_richteri	DB11026
Tin(II)_chloride	DB11056
Mineral_oil	DB11057
Petroleum_jelly	DB11058
Carboxymethylcellulose	DB11059
Polyvinyl_alcohol	DB11060
Povidone	DB11061
Octisalate	DB11062
Polysorbate_80	DB11063
Homosalate	DB11064
Heme_iron_polypeptide	DB11067
Selenic_acid	DB11068
Phenyl_salicylate	DB11071
Hydrofluoric_acid	DB11072
Cetylpyridinium	DB11073
Dimethicone	DB11074
Hypromellose	DB11075
Trolamine_salicylate	DB11079
Silver_nitrate	DB11080
Aluminum_chloride	DB11081
Coal_tar	DB11082
Resorcinol	DB11085
Cocoa_butter	DB11086
Shark_liver_oil	DB11088
Docusate	DB11089
Potassium_nitrate	DB11090
Hydrogen_peroxide	DB11091
Tin(II)_fluoride	DB11092
Calcium_citrate	DB11093
Vitamin_D	DB11094
Desirudin	DB11095
Menthyl_anthranilate	DB11096
Potassium_bicarbonate	DB11098
Allantoin	DB11100
Sulfur_hexafluoride	DB11104
Benzalkonium	DB11105
Potassium_bitartrate	DB11107
Aluminum_sesquichlorohydrate	DB11108
Chlorine	DB11109
Magnesium_citrate_(3:2)	DB11110
Witch_hazel	DB11111
Lanolin	DB11112
Castor_oil	DB11113
Eucalyptus_oil	DB11114
Ensulizole	DB11115
Undecylenate	DB11117
Ammonia	DB11118
Sodium_iodide	DB11119
Turpentine	DB11120
Chloroxylenol	DB11121
Hypochlorite	DB11123
Racepinephrine	DB11124
Benzethonium	DB11125
Calcium_gluconate	DB11126
Selenious_acid	DB11127
Ammonium_molybdate	DB11128
Hydrogen_peroxide_-_urea	DB11129
Opium	DB11130
Pepper_spray	DB11131
Silicon_dioxide	DB11132
Omega-3_fatty_acid	DB11133
Copper(II)_oxide	DB11134
Selenium	DB11135
Chromium	DB11136
Molybdenum	DB11137
Selenomethionine	DB11142
Cresol	DB11143
8-Hydroxyquinoline	DB11145
Butamben	DB11148
Aluminum_zirconium_tetrachlorohydrex_gly	DB11149
Barium_sulfate	DB11150
Sodium_hydroxide	DB11151
Trichloroacetate	DB11152
Potassium_hydroxide	DB11153
Triclocarban	DB11155
Pyrantel	DB11156
Dithranol	DB11157
Pectin	DB11158
Sodium_sulfide	DB11159
Phenyltoloxamine	DB11160
Rosin	DB11165
Iron(III)_sulfate	DB11171
Sesame_oil	DB11172
Zinc_picolinate	DB11175
Zeaxanthin	DB11176
Polysorbate_20	DB11178
Exametazime	DB11179
Technetium_(99mTc)_tetrofosmin	DB11180
Homatropine	DB11181
Rose_bengal	DB11182
Sulisobenzone	DB11185
Pentoxyverine	DB11186
Magnesium_glycinate	DB11189
Pantethine	DB11190
Adenosylcobalamin	DB11191
Threonic_acid	DB11192;DB14228
Papain	DB11193
Xylitol	DB11195
Peppermint_oil	DB11198
Sage_oil	DB11199
Boron	DB11203
Panthenol	DB11204
Alcloxa	DB11205
Bemotrizinol	DB11206
Amiloxate	DB11207
Arbutin	DB11217
Tea_tree_oil	DB11218
Enzacamene	DB11219
1-Octacosanol	DB11220
Dioxybenzone	DB11221
Benzoin_(resin)	DB11222
Tolu_balsam	DB11223
Methyl_cellulose	DB11228
Padimate_A	DB11229
Pyrope	DB11230
Lycopene	DB11231
Thonzylamine	DB11235
Trypsin	DB11237
Borage_oil	DB11238
Aluminium_sulfate	DB11239
Gelatin	DB11242
Ethyl_macadamiate	DB11243
Copper_gluconate	DB11246
Zinc_gluconate	DB11248
Glycerol_monostearate	DB11250
Tocopherol	DB11251
Poloxamer_407	DB11252
Xanthan_gum	DB11253
Hexylresorcinol	DB11254
Chromium(III)_picolinate	DB11255
Levomefolic_acid	DB11256
Fluoride	DB11257
Diosmetin	DB11259
Bisoctrizole	DB11262
Piceid	DB11263
Calcium_glycerophosphate	DB11264
Sea_salt	DB11266
Protocatechuic_aldehyde	DB11268
Diethylamino_hydroxybenzoyl_hexyl_benzoate	DB11269
Polysilicone-15	DB11271
Dihydroergocornine	DB11273
Epicriptine	DB11275
Methylephedrine	DB11278
Brilliant_Green	DB11279
Bismuth_subcarbonate	DB11281
DEET	DB11282
Colloidal_oatmeal	DB11286
Borneol	DB11288
Rice_bran_oil	DB11293
Trichophyton_verrucosum	DB11295
Thioredoxin	DB11298
Thrombin	DB11300
Phenoxyethanol	DB11304
Bentonite	DB11306
Sulfuric_acid	DB11309
Prothrombin	DB11311
Protein_C	DB11312
Methylscopolamine_bromide	DB11315
Cod_liver_oil	DB11321
Nonivamide	DB11324
Boric_acid	DB11326
Prothrombin_complex_concentrate	DB11330
Kinetin	DB11336
Zeatin	DB11337
Clove_oil	DB11338
Ubiquinol	DB11340
Ichthammol	DB11341
Aluminium_oxide	DB11342
Silanol	DB11343
Rubidium	DB11346
Bacillus_subtilis	DB11347
Calcium_phosphate	DB11348
Cocamidopropyl_betaine	DB11350
Linseed_oil	DB11357
Evening_primrose_oil	DB11358
Guaiacol	DB11359
Lactobacillus_plantarum	DB11360
Birch_tar	DB11361
Selexipag	DB11362
Alectinib	DB11363
Pidotimod	DB11364
Senna_glycoside	DB11365
Roquinimex	DB11366
Cefroxadine	DB11367
Chlorophetanol	DB11368
Alfaxalone	DB11371
Altrenogest	DB11372
Amitraz	DB11373
Azaperone	DB11376
Bambermycin	DB11377
Carbomycin	DB11383
Cefalonium	DB11385
Chlorobutanol	DB11386
Chloroform	DB11387
Coumaphos	DB11390
Cythioate	DB11392
Danofloxacin	DB11393
Decoquinate	DB11394
Deracoxib	DB11395
Dichlorophen	DB11396
Dichlorvos	DB11397
Diclazuril	DB11398
Dirlotapide	DB11399
Doramectin	DB11400
Emodepside	DB11403
Enrofloxacin	DB11404
Eprinomectin	DB11405
Fenbendazole	DB11410
Fenthion	DB11412
Florfenicol	DB11413
Haloxon	DB11419
Squalane	DB11420
Imidacloprid	DB11421
Lasalocid	DB11423
Lufenuron	DB11424
Marbofloxacin	DB11426
Maropitant	DB11427
Medetomidine	DB11428
Mibolerone	DB11429
Monensin	DB11430
Moxidectin	DB11431
Narasin	DB11432
Nitarsone	DB11437
Nitenpyram	DB11438
Norgestomet	DB11440
Oleandomycin	DB11442
Orbifloxacin	DB11443
Oxfendazole	DB11446
Phenothiazine	DB11447
Phosmet	DB11448
Pimobendan	DB11450
Robenacoxib	DB11455
Rotenone	DB11457
Roxarsone	DB11458
Selamectin	DB11459
Squalene	DB11460
Sulfanitran	DB11463
Sulfaquinoxaline	DB11464
Tepoxalin	DB11466
Thiostrepton	DB11467
Tiamulin	DB11468
Tilmicosin	DB11471
Metrifonate	DB11473
Tylosin	DB11475
Virginiamycin	DB11476
Xylazine	DB11477
Zeranol	DB11478
Zilpaterol	DB11479
Dinitolmide	DB11480
Atipamezole	DB11481
Balsam_of_Peru	DB11482
Ceftiofur	DB11485
Dexamethasone_isonicotinate	DB11487
Nalorphine	DB11490
Sarafloxacin	DB11491
Sodium_triphosphate	DB11493
Mercaptobenzothiazole	DB11496
Sulfotep	DB11497
Butacaine	DB11502
Caramiphen	DB11504
Cloprostenol	DB11507
Deslorelin	DB11510
Difloxacin	DB11511
Dihydrostreptomycin	DB11512
Etymemazine	DB11517
Flunixin	DB11518
Hygromycin_B	DB11520
Imidocarb	DB11521
Isoflupredone	DB11522
Maduramicin	DB11525
Masitinib	DB11526
Melengestrol	DB11529
Pirlimycin	DB11537
Ractopamine	DB11541
Romifidine	DB11543
Salinomycin	DB11544
Tiletamine	DB11549
Trenbolone	DB11551
Tricaine_mesylate	DB11552
Zolazepam	DB11555
Detomidine	DB11556
Toluene	DB11558
Lesinurad	DB11560
9-Aminoacridine	DB11561
Bicuculline	DB11562
Sebelipase_alfa	DB11563
Ixekizumab	DB11569
Padimate_O	DB11570
Aluminum_chlorohydrate	DB11573
Elbasvir	DB11574
Grazoprevir	DB11575
Iron(III)_oxide	DB11576
Indigo_carmine	DB11577
Fatback	DB11578
Ravulizumab	DB11580
Venetoclax	DB11581
Thiocolchicoside	DB11582
Cetalkonium_chloride	DB11583
Pipradrol	DB11584
Drometrizole_trisiloxane	DB11585
Asunaprevir	DB11586
Etafedrine	DB11587
Carbon_monoxide	DB11588
Neon	DB11589
Thiomersal	DB11590
Bilastine	DB11591
Nitrocefin	DB11592
Isatoic_anhydride	DB11593
Domiphen	DB11594
Atezolizumab	DB11595
Levoleucovorin	DB11596
Rho(D)_immune_globulin	DB11597
Beeswax	DB11600
Hydroxyethyl_cellulose	DB11602
Myrrh	DB11605
Normethadone	DB11609
Oxilofrine	DB11610
Lifitegrast	DB11611
Velpatasvir	DB11613
Rupatadine	DB11614
Pirarubicin	DB11616
Aclarubicin	DB11617
Zorubicin	DB11618
Gestrinone	DB11619
VZV_immune_globulin	DB11621
Dehydrocholic_acid	DB11622
Perflenapent	DB11625
Tasonermin	DB11626
Hepatitis_B_vaccine	DB11627
Laropiprant	DB11629
Temoporfin	DB11630
Bone_morphogenetic_protein_7	DB11631
Opicapone	DB11632
Isavuconazonium	DB11633
Tocofersolan	DB11635
Nomegestrol	DB11636
Delamanid	DB11637
Dihydroartemisinin	DB11638
Bone_morphogenetic_protein_2	DB11639
Amifampridine	DB11640
Vinflunine	DB11641
Pitolisant	DB11642
Tafamidis	DB11644
Conatumumab	DB11646
Incyclinide	DB11647
Discovery_and_development_of_non-nucleoside_reverse-transcriptase_inhibitors	DB11649
HT-0712	DB11650
Dactolisib	DB11651
Tucatinib	DB11652
Bremelanotide	DB11653
T2000	DB11654
Evacetrapib	DB11655
Rebamipide	DB11656
Tabalumab	DB11657
Indium	DB11659
Latanoprostene_bunod	DB11660
Phosphoinositide_3-kinase_inhibitor	DB12015;DB11666;DB11891;DB11663
Psilocybin	DB11664
Ortataxel	DB11669
Curcumin	DB11672
Pyridoxamine	DB11673
Equol	DB11674
Mosapride	DB11675
Galidesivir	DB11676
Triheptanoin	DB11677
Treosulfan	DB11678
Ficlatuzumab	DB11680
Daprodustat	DB11682
Figitumumab	DB11685
Iferanserin	DB11686
Selumetinib	DB11689
Naldemedine	DB11691
Pavinetant	DB11692
Voclosporin	DB11693
Carnosine	DB11695
Racecadotril	DB11696
Pacritinib	DB11697
Ipragliflozin	DB11698
Tropisetron	DB11699
Setmelanotide	DB11700
Amenamevir	DB11701
Acalabrutinib	DB11703
Iomeprol	DB11705
Vixotrigine	DB11706
Janus_kinase_inhibitor	DB11708
Acetyl_hexapeptide-3	DB11709
1-Methylnicotinamide	DB11710
Tezacaftor	DB11712
Durvalumab	DB11714
Bapineuzumab	DB11715
Misonidazole	DB11716
Epacadostat	DB11717
Encorafenib	DB11718
Bombesin	DB11724
Latrepirdine	DB11725
Encenicline	DB11726
Ribociclib	DB11730
Depatuxizumab_mafodotin	DB11731
Lasmiditan	DB11732
Galactose	DB11735
Icotinib	DB11737
Rilmenidine	DB11738
Vonoprazan	DB11739
Adavosertib	DB11740
Ebastine	DB11742
Ipatasertib	DB11743
Otenabant	DB11745
Onartuzumab	DB11746
Benfotiamine	DB11748
Clobetasol	DB11750
Cabotegravir	DB11751
Bryostatin	DB11752
Rifamycin	DB11753
Lirilumab	DB11754
Tetrahydrocannabivarin	DB11755
Solanezumab	DB11756
Istradefylline	DB11757
Cenicriviroc	DB11758
Pevonedistat	DB11759
Talazoparib	DB11760
Tenapanor	DB11761
Salinosporamide_A	DB11762
Momelotinib	DB11763
AZD1305	DB11766
Sarilumab	DB11767
Funapide	DB11769
Talinolol	DB11770
Tremelimumab	DB11771
Pazufloxacin	DB11774
Brodalumab	DB11776
Cenderitide	DB11777
Danoprevir	DB11779
Allicin	DB11780
Imidapril	DB11783
Apimostinel	DB11784
Anisodamine	DB11785
Ralimetinib	DB11787
Neuropeptide_Y	DB11788
Hyodeoxycholic_acid	DB11789
Radafaxine	DB11790
Incyte	DB11791
Mirodenafil	DB11792
Niraparib	DB11793
Fostemsavir	DB11796
N-Acetylneuraminic_acid	DB11797
Bictegravir	DB11799
Tivozanib	DB11800
Rapastinel	DB11801
Sirukumab	DB11803
Saracatinib	DB11805
Faldaprevir	DB11808
Technetium_(99mTc)_etarfolatide	DB11810
Talaporfin	DB11812
Methylarginine	DB11815
Baricitinib	DB11817
Retosiban	DB11818
Nifurtimox	DB11820
Esketamine	DB11823
Tofogliflozin	DB11824
Mirogabalin	DB11825
Lampalizumab	DB11826
Ertugliflozin	DB11827
Neratinib	DB11828
Ruboxistaurin	DB11829
Mocetinostat	DB11830
2,4-Dinitrochlorobenzene	DB11831
Crenolanib	DB11832
Basimglurant	DB11833
Guselkumab	DB11834
Sapanisertib	DB11836
Osilodrostat	DB11837
Dalotuzumab	DB11840
Entinostat	DB11841
Angiotensin	DB11842
BIIB-104	DB11843
Pritelivir	DB11844
Lucitanib	DB11845
Creatinine	DB11846
Cadazolid	DB11847
Mannose_6-phosphate	DB11848
Emibetuzumab	DB11849
Ublituximab	DB11850
Bafetinib	DB11851
Relugolix	DB11853
Revefenacin	DB11855
Ligelizumab	DB11856
Seribantumab	DB11857
Leukotriene_D4	DB11858
Allopregnanolone	DB11859
Aramchol	DB11860
Landogrozumab	DB11862
Preladenant	DB11864
Brivanib_alaninate	DB11865;DB11958
Romosozumab	DB11866
JNJ-39393406	DB11867
Etiracetam	DB11868
Valspodar	DB11869
RO4929097	DB11870
Crocin	DB11874
3,3%27-Diindolylmethane	DB11875
Basmisanil	DB11877
Filibuvir	DB11878
Luminespib	DB11881
BPC-157	DB11882
Lanicemine	DB11889
Cilengitide	DB11890
Prulifloxacin	DB11892
Ghrelin	DB11895
Gedatolisib	DB11896
Apalutamide	DB11901
Sutezolid	DB11905
Rociletinib	DB11907
Varespladib	DB11909
Galunisertib	DB11911
Lebrikizumab	DB11914
Valbenazine	DB11915
Lesogaberan	DB11920
Deflazacort	DB11921
Decoglurant	DB11923
Safingol	DB11924
Vosoritide	DB11928
Vaniprevir	DB11929
Varlilumab	DB11930
Epelsiban	DB11934
Flomoxef	DB11935
Bempedoic_acid	DB11936
Difelikefalin	DB11938
3-Aminopyridine-2-carboxaldehyde_thiosemicarbazone	DB11940
Selinexor	DB11942
Delafloxacin	DB11943
Avelumab	DB11945
Pridopidine	DB11947
Vestipitant	DB11949
Teneligliptin	DB11950
Lemborexant	DB11951
Duvelisib	DB11952
Avotermin	DB11955
Idalopirdine	DB11957
Crenezumab	DB11959
Carboxyamidotriazole	DB11960
Dacomitinib	DB11963
Ilaprazole	DB11964
Binimetinib	DB11967
Vilaprisan	DB11971
Rilotumumab	DB11972
Tesevatinib	DB11973
Anifrolumab	DB11976
Glasdegib	DB11978
Elagolix	DB11979
Carbon_black	DB11980
Elamipretide	DB11981
Placulumab	DB11983
Entrectinib	DB11986
Ocrelizumab	DB11988
Benznidazole	DB11989
Oprozomib	DB11991
Omarigliptin	DB11992
Diacerein	DB11994
Avatrombopag	DB11995
Thymopentin	DB11996
Interleukin-7	DB11997
Sorivudine	DB11998
Vosaroxin	DB11999
Apabetalone	DB12000
Abemaciclib	DB12001
Thymosin_beta-4	DB12003
BMS-906024	DB12006
Isoflavones	DB12007
Prexasertib	DB12008
Fevipiprant	DB12011
PF-04457845	DB12012
Axelopran	DB12013
Ozoralizumab	DB12014
Ponesimod	DB12016
Ozagrel	DB12017
Ulocuplumab	DB12018
Tesetaxel	DB12019
Tecovirimat	DB12020
Dinaciclib	DB12021
Benralizumab	DB12023
Triptolide	DB12025
Voxilaprevir	DB12026
Bromodeoxyuridine	DB12028
Atagabalin	DB12032
Gantenerumab	DB12034
Sarecycline	DB12035
Ulinastatin	DB12038
Catechin	DB12039;DB14086
2-Octyl_cyanoacrylate	DB12040
Mapracorat	DB12041
Ibodutant	DB12042
Mericitabine	DB12045
Savolitinib	DB12048
Setrobuvir	DB12051
Icariin	DB12052
Visilizumab	DB12053
BQ-123	DB12054
ADX-71149	DB12059
Pardoprunox	DB12061
Volasertib	DB12062
Rislenemdaz	DB12063
Radalbuvir	DB12065
Orteronel	DB12066
Sovaprevir	DB12069
Letermovir	DB12070
Vabicaserin	DB12071
Albaconazole	DB12073
Censavudine	DB12074
Surotomycin	DB12076
Urelumab	DB12077
Enobosarm	DB12078
Gefarnate	DB12079
Anecortave_acetate	DB12081
Vesnarinone	DB12082
Mafosfamide	DB12083
Vanillyl_alcohol	DB12087
Lorvotuzumab_mertansine	DB12089
Patritumab	DB12090
Gadolinium	DB12091
Naftopidil	DB12092
Tetrahydropalmatine	DB12093
Semapimod	DB12094
Telotristat_ethyl	DB14218;DB12095
Abediterol	DB12100
Fulranumab	DB12102
Tarextumab	DB12104
Imagabalin	DB12105
Vaborbactam	DB12107
Taselisib	DB12108
Devimistat	DB12109
MK-212	DB12111
Poziotinib	DB12114
Epigallocatechin_gallate	DB12116
Gevokizumab	DB12119
Syk	DB12121
Cinepazide	DB12123
Dianicline	DB12125
Bradykinin	DB12126
Sultamicillin	DB12127
Ulimorelin	DB12128
Tideglusib	DB12129
Lorlatinib	DB12130
Vinpocetine	DB12131
Gepotidacin	DB12134
Alisporivir	DB12139
AXL_receptor_tyrosine_kinase	DB12141
Duligotuzumab	DB12142
Rigosertib	DB12146
Erdafitinib	DB12147
Menatetrenone	DB12148
Brincidofovir	DB12151
Simtuzumab	DB12152
Citicoline	DB12153
Cordycepin	DB12156
Fasinumab	DB12157
Filorexant	DB12158
Dupilumab	DB12159
Bucillamine	DB12160
Deutetrabenazine	DB12161
Sarpogrelate	DB12163
Tralokinumab	DB12169
Nimorazole	DB12172
Diphenylcyclopropenone	DB12173
Histone_deacetylase_inhibitor	DB12707;DB12174
Axona	DB12176
Eplivanserin	DB12177
Secoisolariciresinol	DB12179
Dalcetrapib	DB12181
Gepirone	DB12184
Exatecan	DB12185
Zicronapine	DB12188
Etrolizumab	DB12189
Obatoclax	DB12191
Ajulemic_acid	DB12193
Atamestane	DB12194
Fosdagrocorat	DB12198
Tivantinib	DB12200
PF-03654746	DB12201
Zalutumumab	DB12202
Terbogrel	DB12204
Ganitumab	DB12205
Landiolol	DB12212
Etaracizumab	DB12213
Luseogliflozin	DB12214
Bergapten	DB12216
ORG-25935	DB12220
Canrenone	DB12221
Lurtotecan	DB12222
Beclabuvir	DB12225
Telcagepant	DB12228
Cerlapirdine	DB12229
Bunazosin	DB12230
Temefos	DB12231
Iguratimod	DB12233
Estetrol	DB12235
TPA-023	DB12238
Polatuzumab_vedotin	DB12240
MEK_inhibitor	DB12241
Edaravone	DB12243
Triclabendazole	DB12245
Inclacumab	DB12246
Tulobuterol	DB12248
Stem_bromelain	DB12249
Cixutumumab	DB12250
Moxaverine	DB12251
Brilanestrant	DB12253
Vadadustat	DB12255
Platinum	DB12257
Ascrinvacumab	DB12261
Atevirdine	DB12264
Fexinidazole	DB12265
Brigatinib	DB12267
Losmapimod	DB12270
Ecopipam	DB12273
Aducanumab	DB12274
Seviteronel	DB12275
Polihexanide	DB12277
Propiverine	DB12278
AZD-5423	DB12280
Luspatercept	DB12281
Balapiravir	DB12283
Verubecestat	DB12285
Talsaclidine	DB12287
Piromelatine	DB12288
Darexaban	DB12289
Puerarin	DB12290
Barusiban	DB12292
Nefopam	DB12293
Anrukinzumab	DB12294
Doravirine	DB12301
Array_BioPharma	DB12303
Entolimod	DB12304
Dasotraline	DB12305
Cipargamin	DB12306
Foretinib	DB12307
Pregnanolone	DB12308
Trehalose	DB12310
