UniRef100_P31946	P31946;V9HWD6
UniRef100_Q59GB8	Q59GB8
UniRef100_C5H6M4	C5H6M4
UniRef100_D9IDM8	D9IDM8
UniRef100_V5ZDN9	V5ZDN9
UniRef100_A0A089G3M5	A0A089G3M5
UniRef100_B2R7S4	B2R7S4
UniRef100_B7Z474	B7Z474
UniRef100_Q58A53	Q58A53
UniRef100_B3KMR3	B3KMR3
UniRef100_B3KRC7	B3KRC7
UniRef100_B4DX39	B4DX39
UniRef100_Q59F04	Q59F04
UniRef100_Q96FW8	Q96FW8
UniRef100_Q96MM2	Q96MM2
UniRef100_B3KMY8	B3KMY8
UniRef100_B3KPG1	B3KPG1
UniRef100_B3KUQ5	B3KUQ5
UniRef100_B4DE37	B4DE37
UniRef100_B4DL80	B4DL80
UniRef100_B4DLR7	B4DLR7
UniRef100_B4DQG7	B4DQG7
UniRef100_Q15107	Q15107
UniRef100_V5NPR0	V5NPR0
UniRef100_E1NZA0	E1NZA0
UniRef100_Q59F18	Q59F18
UniRef100_V5NQ58	V5NQ58
UniRef100_A0A023QK46	A0A023QK46
UniRef100_A0A0A8KB78	A0A0A8KB78
UniRef100_B7ZLD0	B7ZLD0
UniRef100_D6R6Z6	D6R6Z6
UniRef100_D7PAI0	D7PAI0
UniRef100_X5D337	X5D337
UniRef100_B2R8J1	B2R8J1
UniRef100_M9PAD3	M9PAD3
UniRef100_B2R7N9	B2R7N9
UniRef100_Q8NH97	Q8NH97
UniRef100_A0A1B0GVI7	A0A1B0GVI7
UniRef100_N0A0P5	N0A0P5
UniRef100_Q0VGG8	Q0VGG8
UniRef100_A0A0H4LTY3	A0A0H4LTY3
UniRef100_B7ZLH1	B7ZLH1
UniRef100_D9IWN1	D9IWN1
UniRef100_Q69YW6	Q69YW6
UniRef100_B2RBJ8	B2RBJ8
UniRef100_B4E392	B4E392
UniRef100_B7Z450	B7Z450
UniRef100_F6KS46	F6KS46
UniRef100_F8SWL5	F8SWL5
UniRef100_A0A089H960	A0A089H960
UniRef100_X4Y8J8	X4Y8J8
UniRef100_B4E116	B4E116
UniRef100_Q16176	Q16176
UniRef100_X5C404	X5C404
UniRef100_X5DNR8	X5DNR8
UniRef100_A0A1B0GVC7	A0A1B0GVC7
UniRef100_E3UTN9	E3UTN9
UniRef100_Q9BUY1	Q9BUY1
UniRef100_D4IIB5	D4IIB5
UniRef100_U5YC58	U5YC58
UniRef100_B4E1Y7	B4E1Y7
UniRef100_B6HY72	B6HY72
UniRef100_C6GLS9	C6GLS9
UniRef100_E1V2J5	E1V2J5
UniRef100_G8JD62	G8JD62
UniRef100_V5NVM6	V5NVM6
UniRef100_X5D2Z0	X5D2Z0
UniRef100_A5D8Y4	A5D8Y4
UniRef100_B2MVI0	B2MVI0
UniRef100_B6V6K3	B6V6K3
UniRef100_B7Z4C3	B7Z4C3
UniRef100_D7RVC0	D7RVC0
UniRef100_F8T7W4	F8T7W4
UniRef100_B2R984	B2R984
UniRef100_B3CJ81	B3CJ81
UniRef100_B4DPE1	B4DPE1
UniRef100_B4DS66	B4DS66
UniRef100_B4DT45	B4DT45
UniRef100_M9P904	M9P904
UniRef100_O95211	O95211
UniRef100_Q92884	Q92884
UniRef100_Q9C044	Q9C044
UniRef100_X5BH36	X5BH36
UniRef100_A4D129	A4D129
UniRef100_D3VVH8	D3VVH8
UniRef100_D6MKX1	D6MKX1
UniRef100_Q671U8	Q671U8
UniRef100_Q6ZP16	Q6ZP16
UniRef100_U5YBJ7	U5YBJ7
UniRef100_A4Z6Y1	A4Z6Y1
UniRef100_B3KNS8	B3KNS8
UniRef100_B4DVQ7	B4DVQ7
UniRef100_B4E106	B4E106
UniRef100_D5K9U9	D5K9U9
UniRef100_Q6ZW66	Q6ZW66
UniRef100_Q9HAP0	Q9HAP0
UniRef100_B4DN61	B4DN61
UniRef100_Q3ZCW6	Q3ZCW6
UniRef100_A0A2I3S4A4	Q53T51
UniRef100_Q6AI50	Q6AI50
UniRef100_Q6NSL6	Q6NSL6
UniRef100_Q96DV6	Q96DV6
UniRef100_S4T761	S4T761
UniRef100_B4DP00	B4DP00
UniRef100_B7ZAP4	B7ZAP4
UniRef100_G9HRQ2	G9HRQ2
UniRef100_J9PVP5	J9PVP5
UniRef100_Q4GX00	Q4GX00
UniRef100_B2CB59	B2CB59
UniRef100_B2R988	B2R988
UniRef100_B2RU26	B2RU26
UniRef100_Q4F5G4	Q4F5G4
UniRef100_B4DEL5	B4DEL5
UniRef100_B4DXW2	B4DXW2
UniRef100_B4DZQ9	B4DZQ9
UniRef100_M9PAD7	M9PAD7
UniRef100_M9QZC0	M9QZC0
UniRef100_A0A1B0GUY0	A0A1B0GUY0
UniRef100_A0A1B0GVQ8	A0A1B0GVQ8
UniRef100_A4D2C1	A4D2C1
UniRef100_Q8N780	Q8N780
UniRef100_A0A090BML5	A0A090BML5
UniRef100_A0A0A7C3U7	A0A0A7C3U7
UniRef100_A0A0A7C4X9	A0A0A7C4X9
UniRef100_A0A191XZC1	A0A191XZC1
UniRef100_B4DH60	B4DH60
UniRef100_B4DHS2	B4DHS2
UniRef100_B4DVZ9	B4DVZ9
UniRef100_B4E143	B4E143
UniRef100_B3KP80	B3KP80
UniRef100_B3VTS8	B3VTS8
UniRef100_B3KT98	B3KT98
UniRef100_B4DDI4	B4DDI4
UniRef100_B4DL55	B4DL55
UniRef100_B4DQS5	B4DQS5
UniRef100_F5HB16	F5HB16
UniRef100_Q59EY0	Q59EY0
UniRef100_B3GMV4	B3GMV4
UniRef100_B3KW38	B3KW38
UniRef100_Q59FJ1	Q59FJ1
UniRef100_Q59G58	Q59G58
UniRef100_Q9P1R8	Q9P1R8
UniRef100_Q9Y5Q4	Q9Y5Q4
UniRef100_S4T754	S4T754
UniRef100_V6BQS2	V6BQS2
UniRef100_A5D904	A5D904
UniRef100_B6EDE2	B6EDE2
UniRef100_B7ZAR0	B7ZAR0
UniRef100_C5IZK7	C5IZK7
UniRef100_D7GLM1	D7GLM1;E1U677
UniRef100_V5NQ98	V5NQ98
UniRef100_A0A098F6N4	A0A098F6N4
UniRef100_B4DI07	B4DI07
UniRef100_I6N936	I6N936
UniRef100_B4E2A2	B4E2A2
UniRef100_B4E2D6	B4E2D6
UniRef100_G8XUU7	G8XUU7
UniRef100_A0PJ74	A0PJ74
UniRef100_D4HPA0	D4HPA0
UniRef100_D9IWM0	D9IWM0
UniRef100_A4ZLU9	A4ZLU9
UniRef100_B7Z388	B7Z388
UniRef100_Q003U9	Q003U9
UniRef100_Q8IXE0	Q8IXE0
UniRef100_U3RHE3	U3RHE3
UniRef100_V5LKE5	V5LKE5
UniRef100_B2R679	B2R679
UniRef100_B2ZAH0	B2ZAH0
UniRef100_B4DH39	B4DH39
UniRef100_B4DIZ3	B4DIZ3
UniRef100_B4DRS0	B4DRS0
UniRef100_B5BUE6	B5BUE6
UniRef100_O00164	O00164
UniRef100_A0A1B0GU59	A0A1B0GU59
UniRef100_A0A1B0GUT9	A0A1B0GUT9
UniRef100_Q15831-2	A0A1B0GUW2
UniRef100_A0A1B0GW57	A0A1B0GW57
UniRef100_A0A1B0GWC1	A0A1B0GWC1
UniRef100_A4D1Q5	A4D1Q5
UniRef100_E7CPM3	E7CPM3
UniRef100_Q12873-3	Q2TAZ1
UniRef100_Q5FBX0	Q5FBX0
UniRef100_B4DW38	B4DW38
UniRef100_B4E0I7	B4E0I7
UniRef100_J9R021	J9R021
UniRef100_Q5J1K7	Q5J1K7
UniRef100_B2R753	B2R753
UniRef100_B2CY97	B2CY97
UniRef100_B4DGU3	B4DGU3
UniRef100_B4DTB3	B4DTB3
UniRef100_A0A1B0GW58	A0A1B0GW58
UniRef100_E7BY86	E7BY86
UniRef100_Q0VAI0	Q0VAI0
UniRef100_Q2Q442	Q2Q442
UniRef100_Q6PN88	Q6PN88
UniRef100_F2VNN3	F2VNN3
UniRef100_H6UV64	H6UV64
UniRef100_N0A0R4	N0A0R4
UniRef100_V9H079	V9H079
UniRef100_A0A186VND3	A0A186VND3
UniRef100_B4DHR2	B4DHR2
UniRef100_Q68DU3	Q68DU3
UniRef100_Q71UY0	Q71UY0
UniRef100_B4E0N5	B4E0N5
UniRef100_H8Y0Y3	H8Y0Y3
UniRef100_B3KW23	B3KW23
UniRef100_B4DRG8	B4DRG8
UniRef100_Q59EP8	Q59EP8
UniRef100_B3KR68	B3KR68
UniRef100_B3KS29	B3KS29
UniRef100_B3KX59	B3KX59
UniRef100_B4DL97	B4DL97
UniRef100_B4DQR5	B4DQR5
UniRef100_B4E031	B4E031
UniRef100_Q13612	Q13612
UniRef100_Q59F22	Q59F22
UniRef100_Q59FD7	Q59FD7
UniRef100_Q9H3E8	Q9H3E8
UniRef100_V5NSS0	V5NSS0
UniRef100_G8I0D8	G8I0D8
UniRef100_Q670S4	Q670S4
UniRef100_Q69EZ8	Q69EZ8
UniRef100_V5NE49	V5NE49
UniRef100_B7Z570	B7Z570
UniRef100_J9PWV8	J9PWV8
UniRef100_B4DM26	B4DM26
UniRef100_B4DQF8	B4DQF8
UniRef100_B4DQQ7	B4DQQ7
UniRef100_Q27I57	Q27I57
UniRef100_Q4G1C8	Q4G1C8
UniRef100_Q59EM1	Q59EM1
UniRef100_G1Q2S7	Q8WYN9;A0A248RGE3
UniRef100_B3KPZ2	B3KPZ2
UniRef100_B3KQ65	B3KQ65
UniRef100_B3KWE3	B3KWE3
UniRef100_B3KX37	B3KX37
UniRef100_B3VTQ5	B3VTQ5
UniRef100_Q59G97	Q59G97
UniRef100_Q59HB3	Q59HB3
UniRef100_Q8TED8	Q8TED8
UniRef100_D9UC14	D9UC14
UniRef100_D9ZNB2	D9ZNB2
UniRef100_Q59FZ9	Q59FZ9
UniRef100_Q68CV2	Q68CV2
UniRef100_Q68D98	Q68D98
UniRef100_V5ZDN8	V5ZDN8
UniRef100_B4DKC6	B4DKC6
UniRef100_A0A0D9S715	B6HY80
UniRef100_F8SKT6	F8SKT6
UniRef100_K0DF06	K0DF06;A0A0A7C5Q9
UniRef100_B2RDF7	B2RDF7
UniRef100_B2RDW9	B2RDW9
UniRef100_Q27H48	Q27H48
UniRef100_B4DLE0	B4DLE0
UniRef100_A0A090KQC9	A0A090KQC9;A0A0X8XVS6
UniRef100_A0A0A7C7H6	A0A0A7C7H6;A0A0A7C8P6;A0A0G2R151
UniRef100_A0A1B0GUH3	A0A1B0GUH3
UniRef100_A0A1B0GUV9	A0A1B0GUV9
UniRef100_A0A1B0GV16	A0A1B0GV16
UniRef100_M9P8P9	M9P8P9
UniRef100_Q0VGD7	Q0VGD7
UniRef100_Q5EKM8	Q5EKM8
UniRef100_Q96C96	Q96C96
UniRef100_C4P0A9	C4P0A9
UniRef100_Q14601	Q14601
UniRef100_A0A186VNL2	A0A186VNL2
UniRef100_A0A186VNY5	A0A186VNY5
UniRef100_B3KN76	B3KN76
UniRef100_B4DNT9	B4DNT9
UniRef100_H8WV79	H8WV79;F4NBN2
UniRef100_H9C3J7	H9C3J7
UniRef100_H9E8V3	H9E8V3
UniRef100_Q05D89	Q05D89
UniRef100_Q13975	Q13975
UniRef100_A0A2J8R708	Q8TBP3
UniRef100_B4DQB8	B4DQB8
UniRef100_D5K9T9	D5K9T9
UniRef100_A0A089VKS7	A0A089VKS7
UniRef100_A0A090KFS8	A0A090KFS8
UniRef100_A2RRQ1	A2RRQ1
UniRef100_B7Z7W2	B7Z7W2
UniRef100_B8XPR9	B8XPR9
UniRef100_Q8IXP2	Q8IXP2
UniRef100_M9P8I5	M9P8I5
UniRef100_B2RAH2	B2RAH2
UniRef100_B4DFT9	B4DFT9
UniRef100_B4DMR4	B4DMR4
UniRef100_B4E3L8	B4E3L8
UniRef100_A0A090N8Z3	A0A090N8Z3
UniRef100_Q562R8	Q562R8
UniRef100_Q8WXL9	Q8WXL9
UniRef100_Q8WZ56	Q8WZ56
UniRef100_U5YEF5	U5YEF5
UniRef100_A0A0A7C908	A0A0A7C908
UniRef100_A0A1B0GTK7	A0A1B0GTK7
UniRef100_A0A1B0GU39	A0A1B0GU39
UniRef100_A0A1B0GUE6	A0A1B0GUE6
UniRef100_A0A1B0GUW0	A0A1B0GUW0
UniRef100_E7E3U7	E7E3U7
UniRef100_Q53HU7	Q53HU7
UniRef100_Q9Y3Z5	Q9Y3Z5
UniRef100_A0A0A7C5D5	A0A0A7C5D5
UniRef100_A0A186VN15	A0A186VN15;A0A186VNN6
UniRef100_B4DUK3	B4DUK3
UniRef100_O15313	O15313
UniRef100_B3KMW3	B3KMW3
UniRef100_B4DTV1	B4DTV1
UniRef100_B4E0R5	B4E0R5
UniRef100_B4E0W9	B4E0W9
UniRef100_Q9UER7-3	B4E1C1
UniRef100_H8WV92	H8WV92
UniRef100_Q14071	Q14071
UniRef100_A0A089G5M8	A0A089G5M8
UniRef100_Q7Z2V4	Q7Z2V4
UniRef100_B2CS91	B2CS91
UniRef100_B2CYA2	B2CYA2
UniRef100_B3CJC0	B3CJC0
UniRef100_Q4F6A5	Q4F6A5
UniRef100_G3CIG1	G3CIG1
UniRef100_A0A1B0GW03	A0A1B0GW03
UniRef100_A0A1B0GW37	A0A1B0GW37
UniRef100_A0A1B0GWH1	A0A1B0GWH1
UniRef100_A4D1V9	A4D1V9
UniRef100_A5XEI3	A5XEI3
UniRef100_F2XI31	F2XI31
UniRef100_Q13313	Q13313
UniRef100_Q2VJ45	Q2VJ45
UniRef100_Q305D4	Q305D4
UniRef100_Q53EM9	Q53EM9
UniRef100_A0A5F8A477	A4UCS8
UniRef100_B4DI86	B4DI86
UniRef100_B4E1G8	B4E1G8
UniRef100_Q3KNT3	Q3KNT3
UniRef100_U5L326	U5L326
UniRef100_B3KN51	B3KN51
UniRef100_B4DHV6	B4DHV6
UniRef100_B4DMZ3	B4DMZ3
UniRef100_B4DWX0	B4DWX0
UniRef100_B4E1L1	B4E1L1
UniRef100_A0A0A0WBS4	A0A0A0WBS4
UniRef100_U3LSI8	U3LSI8
UniRef100_U3M4Q6	U3M4Q6
UniRef100_B7Z8D1	B7Z8D1
UniRef100_B7Z992	B7Z992
UniRef100_B7ZLZ7	B7ZLZ7
UniRef100_G1EPR9	G1EPR9
UniRef100_Q7Z595	Q7Z595
UniRef100_Q86XU5	Q86XU5
UniRef100_Q8IWB3	Q8IWB3
UniRef100_B3KN62	B3KN62
UniRef100_B4DHW8	B4DHW8
UniRef100_B4DN62	B4DN62
UniRef100_B4DN96	B4DN96
UniRef100_B4DQF4	B4DQF4
UniRef100_H9E7R2	H9E7R2
UniRef100_I7H7K5	I7H7K5
UniRef100_A0A2J8NBF0	Q9Y3F8
UniRef100_B4DNN6	B4DNN6
UniRef100_F4MHR0	F4MHR0
UniRef100_A0A0A7C5M8	A0A0A7C5M8
UniRef100_B7Z767	B7Z767
UniRef100_G1EN09	G1EN09
UniRef100_Q3LR72	Q3LR72
UniRef100_Q7Z3T9	Q7Z3T9
UniRef100_Q7Z4B6	Q7Z4B6
UniRef100_Q86VN6	Q86VN6
UniRef100_U3M8N0	U3M8N0
UniRef100_A0A0A7C8J5	A0A0A7C8J5
UniRef100_Q6ZSS8	Q6ZSS8
UniRef100_B7ZAY9	B7ZAY9
UniRef100_Q13254	Q13254
UniRef100_Q5U5N5	Q5U5N5
UniRef100_Q8TE41	Q8TE41
UniRef100_G3R837	Q9H3U3
UniRef100_Q9P0U2	Q9P0U2
UniRef100_G5D7Z6	G5D7Z6
UniRef100_B2R7T5	B2R7T5
UniRef100_B2RCW4	B2RCW4
UniRef100_B4E2M6	B4E2M6
UniRef100_B4E344	B4E344
UniRef100_F4YTD7	F4YTD7
UniRef100_A0A089H978	A0A089H978
UniRef100_C9E1H3	C9E1H3
UniRef100_D5K9R4	D5K9R4
UniRef100_G4W1R5	G4W1R5
UniRef100_K4JDI9	K4JDI9
UniRef100_Q7Z4S8	Q7Z4S8
UniRef100_U3M9T9	U3M9T9
UniRef100_A0A024R4H9	A0A024R4H9
UniRef100_A0A0A7C669	A0A0A7C669
UniRef100_E9LY17	E9LY17
UniRef100_Q7Z3P5	Q7Z3P5
UniRef100_A0A088MYP2	A0A088MYP2
UniRef100_B7Z3L8	B7Z3L8
UniRef100_B7ZB41	B7ZB41
UniRef100_Q14179	Q14179
UniRef100_Q1PHK3	Q1PHK3
UniRef100_Q8NCZ5	Q8NCZ5
UniRef100_Q5U0L9	Q5U0L9
UniRef100_Q5UEC7	Q5UEC7
UniRef100_B2R755	B2R755
UniRef100_B2RD14	B2RD14
UniRef100_B4DDQ0	B4DDQ0
UniRef100_F4MHK4	F4MHK4
UniRef100_A0A059RS81	A0A059RS81
UniRef100_C7SJB6	C7SJB6
UniRef100_G9LKS2	G9LKS2
UniRef100_A5X6H4	A5X6H4
UniRef100_A8K4A1	A8K4A1
UniRef100_A8K7I8	A8K7I8
UniRef100_A8K9Y7	A8K9Y7
UniRef100_Q52S25	Q52S25
UniRef100_Q53G69	Q53G69
UniRef100_Q68DJ3	Q68DJ3
UniRef100_Q95ID4	Q95ID4
UniRef100_Q9H6M6	Q9H6M6
UniRef100_Q9UN47	Q9UN47
UniRef100_D6N765	D6N765
UniRef100_F4MHK1	F4MHK1
UniRef100_K9JHF5	K9JHF5
UniRef100_A0A0A7C909	A0A0A7C909
UniRef100_B7Z606	B7Z606
UniRef100_O43185	O43185
UniRef100_Q7KZN3	Q7KZN3
UniRef100_Q7KZQ1	Q7KZQ1
UniRef100_B7ZKU8	B7ZKU8
UniRef100_A2NX48	A2NX48
UniRef100_A0A2R8ZCC4	B7Z5M7
UniRef100_B7ZLR2	B7ZLR2
UniRef100_B7ZLY6	B7ZLY6
UniRef100_D0UTW1	D0UTW1
UniRef100_Q96EC4	Q96EC4
UniRef100_A0A180H5L0	A0A180H5L0
UniRef100_A0A192GP51	A0A192GP51
UniRef100_G5D848	G5D848
UniRef100_C7TPG7	C7TPG7
UniRef100_A0A060VCP7	A0A060VCP7
UniRef100_A7WPM1	A7WPM1
UniRef100_A8K018	A8K018
UniRef100_A8K6A5	A8K6A5
UniRef100_G7PKM9	Q53TG3
UniRef100_Q96FI0	Q96FI0
UniRef100_E2DH98	E2DH98
UniRef100_E2GH13	E2GH13
UniRef100_I3V9R4	I3V9R4
UniRef100_F4NBU9	I6YAZ9;F4NBU9
UniRef100_Q9HAM9	Q9HAM9
UniRef100_U3L8P3	U3L8P3
UniRef100_U3M9S0	U3M9S0
UniRef100_Q1H8Y5	Q1H8Y5
UniRef100_A0A384CLQ8	Q1L610
UniRef100_Q8IUS6	Q8IUS6
UniRef100_Q9P0F9	Q9P0F9
UniRef100_A0AUM0	A0AUM0
UniRef100_B1N7G2	B1N7G2
UniRef100_A0A5F8AMN5	B7Z3P9
UniRef100_B7Z5I0	B7Z5I0
UniRef100_Q96EW3	Q96EW3
UniRef100_H2QVJ2	Q9H480
UniRef100_Q9P0A0	Q9P0A0
UniRef100_Q9P0E6	Q9P0E6
UniRef100_C5J018	C5J018
UniRef100_L0R8G9	L0R8G9
UniRef100_A0A060VG30	A0A060VG30
UniRef100_B2R745	B2R745
UniRef100_M9PNX4	M9PNX4
UniRef100_G9DBG7	G9DBG7
UniRef100_A8K7G8	A8K7G8
UniRef100_A8K7S0	A8K7S0
UniRef100_A8K9X5	A8K9X5
UniRef100_I6TVS5	I6TVS5
UniRef100_Q2PBC1	Q2PBC1
UniRef100_Q53HK4	Q53HK4
UniRef100_Q86WB5	Q86WB5
UniRef100_Q8IY98	Q8IY98
UniRef100_F2VP84	F2VP84
UniRef100_B3KN65	B3KN65
UniRef100_B3KT06	B3KT06
UniRef100_B3KTU9	B3KTU9
UniRef100_B4DTS3	B4DTS3
UniRef100_B4E1P9	B4E1P9
UniRef100_B4E2F7	B4E2F7
UniRef100_B4E2W3	B4E2W3
UniRef100_Q28617	Q28617
UniRef100_Q8IUV3	Q8IUV3
UniRef100_Q8N5A8	Q8N5A8
UniRef100_E8Z916	E8Z916
UniRef100_G1DUW5	G1DUW5
UniRef100_G1ENT5	G1ENT5
UniRef100_K9J967	K9J967
UniRef100_Q7Z4E0	Q7Z4E0
UniRef100_Q86YR0	Q86YR0
UniRef100_A0A024RDQ2	A0A024RDQ2
UniRef100_E0WN73	E0WN73
UniRef100_G5CTX6	G5CTX6
UniRef100_O00446	O00446
UniRef100_Q7Z518	Q7Z518
UniRef100_Q8WVB5	Q8WVB5
UniRef100_A0A4R5	A0A4R5
UniRef100_B0ZRQ9	B0ZRQ9
UniRef100_B7Z5Y9	B7Z5Y9
UniRef100_B7Z6F7	B7Z6F7
UniRef100_D2JYJ4	D2JYJ4
UniRef100_Q3T976	Q3T976
UniRef100_Q9H7L8	Q9H7L8
UniRef100_Q9H822	Q9H822
UniRef100_F4YTD0	F4YTD0
UniRef100_G9HWB1	G9HWB1
UniRef100_L0R6J0	L0R6J0
UniRef100_L0R6N0	L0R6N0
UniRef100_B4DR66	B4DR66
UniRef100_D6MJ84	D6MJ84
UniRef100_F1T0J8	F1T0J8
UniRef100_K4MMM0	K4MMM0
UniRef100_Q8IX79	Q8IX79
UniRef100_B7Z3I6	B7Z3I6
UniRef100_B7Z726	B7Z726
UniRef100_E9LR92	E9LR92
UniRef100_E9LRM1	E9LRM1
UniRef100_Q7Z330	Q7Z330
UniRef100_Q86V63	Q86V63
UniRef100_Q96CD8	Q96CD8
UniRef100_Q9BTM2	Q9BTM2
UniRef100_A0A0A7C5A4	A0A0A7C5A4
UniRef100_A0A0A7C915	A0A0A7C915
UniRef100_A0A0A7CAK0	A0A0A7CAK0
UniRef100_A2NW97	A2NW97
UniRef100_A2V815	A2V815
UniRef100_E0X602	E0X602
UniRef100_O95088	O95088
UniRef100_Q1M2P6	Q1M2P6
UniRef100_Q9UNB6	Q9UNB6
UniRef100_B7Z3Z2	B7Z3Z2
UniRef100_A0A287AMK7	B7Z5Z9
UniRef100_B7Z615	B7Z615
UniRef100_E0YTK6	E0YTK6
UniRef100_E0Z3E8	E0Z3E8
UniRef100_G1EQ38	G1EQ38;A0A0A7C4P7
UniRef100_F4MHK9	F4MHK9
UniRef100_C7B3D1	C7B3D1
UniRef100_E9P791	E9P791
UniRef100_F4YTD4	F4YTD4
UniRef100_X2KXS7	X2KXS7
UniRef100_A1L407	A1L407
UniRef100_I3Q260	I3Q260
UniRef100_K4K1I8	K4K1I8
UniRef100_Q2L6G1	Q2L6G1
UniRef100_Q2LFC6	Q2LFC6
UniRef100_Q53FR4	Q53FR4
UniRef100_A0A0A7C5I8	A0A0A7C5I8
UniRef100_Q7Z355	Q7Z355
UniRef100_Q7Z5X8	Q7Z5X8
UniRef100_F2Z546	Q8IWR8
UniRef100_B0Z6W4	B0Z6W4
UniRef100_B7Z4P9	B7Z4P9
UniRef100_B7Z6D4	B7Z6D4
UniRef100_A0A091DKD3	Q2F3K5
UniRef100_Q99770	Q99770
UniRef100_Q9UPB9	Q9UPB9
UniRef100_E0WN83	E0WN83
UniRef100_Q6P5T8	Q6P5T8
UniRef100_B2RE36	B2RE36
UniRef100_F1ABN1	F1ABN1
UniRef100_F4MHP6	F4MHP6
UniRef100_G5D898	G5D898
UniRef100_F1CCR3	F1CCR3
UniRef100_A8K0F7	A8K0F7
UniRef100_A8K270	A8K270
UniRef100_A8K9U6	A8K9U6
UniRef100_E3T204	E3T204
UniRef100_I6NS96	I6NS96
UniRef100_Q9TQF6	Q9TQF6
UniRef100_A8K3P5	A8K3P5
UniRef100_K0A0R1	K0A0R1
UniRef100_Q53F53	Q53F53
UniRef100_Q53FM8	Q53FM8
UniRef100_Q53FP3	Q53FP3
UniRef100_Q5ENV9	Q5ENV9
UniRef100_Q5PY60	Q5PY60
UniRef100_X5D2D9	X5D2D9
UniRef100_M9XHG2	M9XHG2
UniRef100_B2RAG0	B2RAG0
UniRef100_B2RDN4	B2RDN4
UniRef100_G7MZA8	B4DGF9
UniRef100_B4DHZ2	B4DHZ2
UniRef100_B4DIF7	B4DIF7
UniRef100_B4DLR9	B4DLR9
UniRef100_B4DYY1	B4DYY1
UniRef100_Q8WXM3	Q8WXM3
UniRef100_A0A0A7C5U1	A0A0A7C5U1
UniRef100_A0A1B0GTP7	A0A1B0GTP7
UniRef100_A0A1B0GUM5	A0A1B0GUM5
UniRef100_A0A1B0GUX5	A0A1B0GUX5
UniRef100_A0A1B0GW28	A0A1B0GW28
UniRef100_E7CNA0	E7CNA0
UniRef100_Q6ZTH0	Q6ZTH0
UniRef100_A0A2K6RYE0	Q7Z457
UniRef100_Q7Z4P1	Q7Z4P1
UniRef100_A0A0A7C6V8	A0A0A7C6V8
UniRef100_B3KVA9	B3KVA9
UniRef100_B3KVY2	B3KVY2
UniRef100_B4DGF2	B4DGF2
UniRef100_B4DGI8	B4DGI8
UniRef100_B4DIC5	B4DIC5
UniRef100_B4DV09	B4DV09
UniRef100_H8WV94	H8WV94
UniRef100_B4DG24	B4DG24
UniRef100_H2Q6L9	B4DMW5
UniRef100_B4E2G5	B4E2G5
UniRef100_A0A0A7C7L5	A0A0A7C7L5
UniRef100_B7ZL55	B7ZL55
UniRef100_B7ZVX0	B7ZVX0
UniRef100_L0EQJ1	L0EQJ1
UniRef100_Q86TE3	Q86TE3
UniRef100_Q8IWY3	Q8IWY3
UniRef100_A0A1B0GUL7	A0A1B0GUL7
UniRef100_A8YQF3	A8YQF3
UniRef100_Q658P9	Q658P9
UniRef100_Q96L59	Q96L59
UniRef100_L9JD02	Q96SC0
UniRef100_A0A186VMX8	A0A186VMX8
UniRef100_B3KTQ7	B3KTQ7
UniRef100_A0A444UM01	B3VS15
UniRef100_B4DHX7	B4DHX7
UniRef100_B4DN59	B4DN59
UniRef100_Q7Z542	Q7Z542
UniRef100_B4DG88	B4DG88
UniRef100_B4DP84	B4DP84
UniRef100_B4DPI7	B4DPI7
UniRef100_B4DQB3	B4DQB3
UniRef100_B4DWI5	B4DWI5
UniRef100_B4E0L3	B4E0L3
UniRef100_B4E142	B4E142
UniRef100_C8Y3Q5	C8Y3Q5
UniRef100_D5FHZ0	D5FHZ0
UniRef100_U3L924	U3L924
UniRef100_B8Q183	B8Q183
UniRef100_Q7Z3C1	Q7Z3C1
UniRef100_A0A0A7C7F4	A0A0A7C7F4
UniRef100_B7Z3Q0	B7Z3Q0
UniRef100_B7ZA12	B7ZA12
UniRef100_O43876	O43876
UniRef100_Q15908	Q15908
UniRef100_B1B1S6	B1B1S6
UniRef100_B7ZB07	B7ZB07
UniRef100_A0A060N2L5	A0A060N2L5
UniRef100_B2RDX5	B2RDX5
UniRef100_F4MHN4	F4MHN4
UniRef100_G4W1A3	G4W1A3
UniRef100_A5JUM7	A5JUM7
UniRef100_B0YJ73	B0YJ73
UniRef100_Q14354	Q14354
UniRef100_Q14489	Q14489
UniRef100_Q3SWV2	Q3SWV2
UniRef100_B2R7A1	B2R7A1
UniRef100_B4DEZ0	B4DEZ0
UniRef100_F4MHJ5	F4MHJ5
UniRef100_M9PNW8	M9PNW8
UniRef100_C7DU00	C7DU00
UniRef100_G9LCM6	G9LCM6
UniRef100_A8KA23	A8KA23
UniRef100_O60726	O60726
UniRef100_Q53FD1	Q53FD1
UniRef100_Q53HT9	Q53HT9
UniRef100_Q53R30	Q53R30
UniRef100_Q53TK7	Q53TK7
UniRef100_Q9BZX3	Q9BZX3
UniRef100_X5D789	X5D789
UniRef100_A5PKU0	A5PKU0
UniRef100_E2ITE1	E2ITE1
UniRef100_I6QLC3	I6QLC3
UniRef100_S5M207	S5M207
UniRef100_S5U2K1	S5U2K1
UniRef100_Q8N822	Q8N822
UniRef100_Q9Y6G0	Q9Y6G0
UniRef100_A0A0A7C6U9	A0A0A7C6U9
UniRef100_B7Z598	B7Z598
UniRef100_Q8IX86	Q8IX86
UniRef100_Q9P155	Q9P155
