K16197	P31946;P27348;P63104;D0PNI1;V9HWD6
K02899	Q9P0M9
K02902	Q13084
K02907	Q8TCC3
K02911	Q9BYC8;A4D1V4
K02913	O75394
K02914	Q9BQ48;A0A024R7J4
K02916	Q9NZE8
K02919	Q9P0J6
K17418	Q9BZE1
K17419	Q96DV4
K17420	Q9NYK5
K17421	Q9NQ50
K17422	Q8IXM3
K17423	Q9Y6G3;A0A024RBG3
K17424	Q8N983
K17425	Q9H9J2
K17427	Q9H2W6
K17428	Q9HD33
K17429	Q96GC5
K17430	Q13405;A0A024R578
K17431	Q8N5N7
K17432	Q4U2R6
K17433	Q86TS9
K17434	Q96EL3
K17435	Q6P161
K17436	Q7Z7F7
K23293	Q96TC7;A0A024R9P6
K23333	Q9H871;Q96G75;B3KSG5
K10990	Q9H9A7
K15365	Q96E14
K23499	Q9NWS8
K17560	O94763
K15695	O00237
K10635	Q6ZNA4
K15697	Q9Y508
K11982	Q9Y4L5;Q9BV68;A0A024R206;A8K0Q1
K15698	Q9H920
K15699	Q9H9V4
K12169	Q5XPI4
K12170	Q96EQ8
K10629	Q8TEB7
K15702	Q8WVZ7
K16272	Q8IUD6
K10668	Q8WVD3;A0A140VJT9
K15703	Q8WU17
K23789	Q96MT1;A8K9Y9;Q8NDT8
K15700	Q9NTX7
K15704	Q8NC42
K15705	Q8N8N0
K17821	Q6ZSG1;A0A059NXK6
K17044	Q96A37
K15706	Q9H6Y7
K20779	Q8IYW5
K20805	Q8NCN4
K15707	Q96K19
K15708	Q86T96
K22378	Q9P0P0
K11983	Q8N6D2;A0A024QZW5
K22157	Q96D59;A0A024R834
K10666	Q96GF1;Q99942;A0A024RCQ4;A0A024R1F5
K15709	Q5TA31
K11972	Q9NV58
K11973	Q6ZMZ0
K22754	Q63HN8;A0A0A0MTR7
K11976	Q9NWF9;A8K8N1
K11977	Q8TC41;B3KVC8
K01165	Q05823
K01168	P07998;P10153;W0UV60;W0UV93
K16632	P34096;Q53XB4
K01172	Q93091;Q9H1E1;Q8TDE3;Q6IB39
K03685	Q9NRR4
K07531	Q92730
K07858	P52198
K07859	P61587;B2R838
K11980	Q9Y3C5
K16271	Q9NVW2
K15692	O43567
K11971	Q9UBS8
K18405	Q9BXT8;B5MCY1;Q9BXT4;O60522;Q8NHU6;A0A140VJW6
K10640	Q96BH1
K15693	Q9BY78
K11974	Q96EP0
K10600	O94941
K19041	Q9H0F5;Q7L0R7;A0A024R7Q1
K11981	Q9H4P4;A0A024RB33
K15694	Q68DV7
K22651	P78317
K22753	Q9Y252;A0A024RDP2
K10667	O76064
K22379	Q5M7Z0
K03469	O60930;E5KN15
K10743	O75792
K10744	Q5TBB1;Q8N451
K10745	Q8TDP1;A0A024R5B3
K19770	Q6P5S7
K18208	Q5VYX0
K13157	Q96LT9
K09605	Q9HAU8
K14325	Q15287;D3DU92
K16633	Q8TAA1;Q5GAN5
K01166	O00584
K00784	Q9H777;Q9BQ52;A0A0S2Z5M8
K10651	P19474
K11089	P10155;A0A024R983
K12894	Q13151
K13158	P22626
K06753	Q9Y6N7
K06754	Q9HCK4
K06755	Q96MS0
K06784	Q8WZ75
K04514	Q13464
K17388	O75116;Q14DU5;A0A2P9DU05
K17344	Q03395
K05100	Q04912
K05122	Q01973
K05123	Q01974
K08532	P35398
K08534	P51449;Q6I9R9
K05088	P08922
K19538	Q8IWN7;P56715
K14525	Q8N5L8;Q9BUL9
K19938	Q9Y2J0
K19604	Q8TA86;A0A090N8Z0
K03000	Q9P1U0;Q2L6J2
K02999	O95602
K03002	Q9H9Y6;B7Z1W6
K03004	Q3B726
K03005	Q9GZS1
K03013	P19388
K03014	P61218
K03016	P52434
K03009	P53803;A0A024R9G0
K03007	P62875
K03027	O15160
K03020	P0DPB6
K20826	Q9BWH6;A8K2F9
K20827	Q8IXW5
K23002	Q9H6T3
K03008	P52435;Q9GZM3;A0A0B4J2F8
K03006	P24928
K03010	P30876;B4DH29
K03011	P19387;Q6FGR6
K03012	O15514
K03015	P62487
K03017	P36954
K03019	Q9Y2Y1
K03018	O14802
K03021	Q9NW08;Q7Z3R8
K03023	Q9BUI4
K03026	P05423
K14721	Q9NVU0
K03025	Q9H1D9
K03024	Q9BT43;O15318;A0A024RAM1
K03022	Q9Y535;A0A024R1P3
K11158	Q16518
K01783	Q2QD12;Q96AT9
K14846	Q9H9Y2
K14847	Q9H7B2
K06277	Q13905
K08018	Q9Y4G8
K08014	O95398;Q99777
K04351	Q8WZA2
K08019	Q92565;A8MQ07;Q5JPD2
K08020	Q8TEU7
K17700	P47736;A0A024RAB5
K17708	Q684P5
K16512	Q96KN7
K19607	Q92834
K19939	Q9UNE2
K01807	P49247
K12666	P04843
K12667	P04844
K10908	O00411;Q4G0F4
K14529	O95059
K03540	Q9H633
K03538	O95707
K03539	P78346
K14523	P78345
K14530	O75818
K15559	Q9NQG5
K10128	Q9NS64
K07204	Q8N122;Q6DKI0
K16185	Q7L523;Q5VZM2
K16186	Q9HB90;Q9NQL2
K07830	P62070
K07829	P10301;A0A024QZF2
K14000	Q9P2E9
K20210	Q92766;A0A024QZU8
K02838	Q96E11
K15216	Q9NYV6
K14794	Q5JTH9;B3KMR5
K14849	Q14684;P56182
K14795	Q96EU6
K12585	Q9Y2L1
K14792	Q14690
K14545	Q9Y3A4
K14850	O43159
K14852	Q15050
K02947	P46783;A0A1W2PQS6
K02949	P62280
K02951	P25398
K02953	P62277
K02955	P62263
K02957	P62244;B2R4W8
K02958	P62841
K02960	P62249
K02962	P08708
K02964	P62269
K02966	P39019;B0ZBD0
K02969	P60866
K02971	P63220;Q6FGH5
K02973	P62266;A8K517
K02974	P62847
K02975	P62851
K02976	P62854;A0A024RB14
K02977	P62979;B2RDW1
K02978	Q71UM5;P42677
K02979	P62857;B2R4R9
K02980	P62273
K02981	P15880
K02984	P61247
K02985	P23396
K02987	P62701;P22090;Q8TD47;B2R491
K02989	P46782;A0A024R4Q8
K02991	P62753;A2A3R6
K02993	P62081
K02995	P62241;Q5JR94
K02997	P46781;A0A024R4M0
K15045	Q8WXG1
K22610	Q5VWQ0;Q6PCB5
K11657	Q96T23;Q05DG0
K19756	Q5TD94;B3KTA9
K07850	Q92737;A0A024R1C8
K07851	Q96S79
K07852	Q6T310
K07853	Q9BPW5
K11086	P14678
K11100	P63162;X5DP00
K19755	Q8WYR4
K19757	Q9H1X1
K19471	Q2MKA7
K23097	Q6UXX9;B3KVP3
K23098	Q9BXY4
K23099	Q2I0M5
K23332	Q96DX4;A0A024R6U0
K02998	P08865
K02967	Q9Y399
K02988	P82675
K02990	P82932
K02992	Q9Y2R9;A0A024R8L0
K02996	P82933
K02946	P82664;A0A024RD03
K02948	P82912
K02950	O15235;A0A024R0H2
K02954	O60783
K02956	P82914
K02959	Q9Y3D3
K02961	Q9Y2R5
K02963	Q9NVS2;Q9Y3D5
K16174	Q9Y676;B0S7P4
K02970	P82921;Q99768
K17401	P82650
K17402	Q9Y3D9
K17403	Q96EL2
K17404	P82663
K17405	Q9BYN8
K17406	Q92552;A0A024RAJ1
K17407	Q9Y2Q9;A0A0S2Z563
K17408	P51398
K17409	Q9NP92
K17410	Q92665
K17411	Q9Y291;A4D1T3
K17412	P82930
K17413	P82673
K17414	P82909
K23164	Q8WWV3
K01974	O00442
K14415	Q9Y3I0
K11136	Q9NZ71
K15178	Q92541
K20721	Q16799
K20722	O75298;A8K7F2;Q6GMT0
K20723	O95197
K16659	Q9BZR6
K20720	Q9NQC3
K15433	Q9Y224;Q549M8
K16484	Q86VV8
K11093	P08621;A0A024QZD5
K11095	P09234;Q5TAL4
K11092	P09661
K11094	P08579
K19330	Q92622;Q8N4U6
K12482	Q96T51
K08367	Q01196
K09278	Q13950
K09279	Q13761
K23283	Q9BVN2
K23291	Q8N2Y8
K22537	Q6P087
K22538	Q96CM3
K04499	Q9Y265;A0A384MTR5
K11338	Q9Y230
K11097	P62304
K11098	P62306
K11099	P62308
K04306	Q9HBX9
K04307	Q8WXD0
K21052	Q9Y2B1
K08524	P19793;F1D8Q5;Q6P3U7
K08525	P28702;Q5STP9
K08526	P48443;F1D8Q7
K09332	Q9Y2V3
K11469	Q8N488
K05128	P34925;Q8WTZ8;Q59FQ5
K04961	P21817
K04962	Q92736
K04963	Q15413
K23770	P04271;A0A0S2Z4C5
K14734	P29377
K23771	P25815
K23772	Q8WXG8
K23758	P23297;A0A0S2Z4H2
K23759	P29034
K23760	P33764
K23761	P26447
K23762	P33763
K23764	P06703
K21126	P31151;Q86SG5
K21127	P05109
K21128	P06702
K17274	P60903
K23765	P31949;Q99584;V9HWH9
K23766	P80511
K23767	Q9HCY8
K23768	Q96FQ6
K14425	Q13621;Q8IUN5
K10951	P55011;Q53ZR1
K14426	P55017
K14427	Q9UP95;Q9H2X9;Q9UHW9;A0A024R9I5
K13627	Q9Y666
K14428	A0AV02
K14429	Q9BXP2;Q9H7I6
K14444	Q9BZW2;Q9UKG4;A4D0X1;Q59HF0
K14445	Q13183;Q8WWT9;Q86YT5;Q68D44
K14206	P46059;B2CQT6
K14637	Q16348
K14638	Q8IY34;Q8N697
K14639	A6NIM6
K12301	Q9NRA2
K12303	Q9BYT1
K14609	P41440
K14610	O60779;Q9BZV2;A0A024R928
K04288	P21453
K04292	O95136;A0A024R7B2
K04290	Q99500
K04293	O95977
K04295	Q9H228
K14640	Q8WUM9;Q08357;A7LNJ1;A0A384MR38
K08198	O15245
K08199	O15244
K08200	O75751
K08202	Q9H015;O76082
K08203	Q4U2R8
K08204	Q9Y694
K08205	Q8TCC7;B2R807
K08206	Q8IVM8;Q63ZE4;Q8N4F4;Q6T423
K08207	Q9NSA0
K08208	Q96S37
K08209	Q9Y226
K08210	Q9Y267
K08211	Q8IZD6
K08212	Q86VW1;A0A0K0K1K9
K08213	Q8WUG5
K08214	Q96BI1
K08215	A1A5C7
K14611	Q9UHI7
K23717	Q9UGH3;A0A140VK48
K14612	Q6PIS1;B7Z508
K15116	Q9BSK2;Q96CQ1;A0A384MEA9
K15117	Q6PIV7;Q3KQZ1
K15118	Q96DW6
K15119	Q9BZJ4;Q8TBP6
K14684	Q8N5S1;Q6NUK1;Q6KCM7;Q9BV35
K15085	Q86VD7;A0A024R7K2
K15120	Q8WUT9
K15121	Q96H78
K15123	Q8N413;Q6Q0C1;A0A024R6H7
K03454	Q96AG3
K15124	Q6ZT89
K14707	Q8NG04
K14708	Q86WA9
K14700	Q9H2B4
K14701	P50443
K14078	P40879
K14702	O43511
K14703	P58743
K14704	Q9BXS9;Q9Y3Y1
K13962	Q8TE54
K14705	Q96RN1;A0A024RCV0
K14706	Q7LBE3
K08745	Q6PCB7;Q6P1M0;A0A024R8D2
K08746	O14975
K08772	Q5K4L6;X6R3N0
K08748	Q9Y2P5
K08749	Q9Y2P4
K11536	O00337;O43868;Q9HAS3;B7Z3L6;Q2M2A7;Q53H72
K15014	Q99808;Q14542;Q9BZD2
K03323	Q7RTT9
K15284	P0CK96;P0CK97
K15272	P78382;P78381;Q9Y2D2
K15273	Q96G79
K15274	Q9BS91
K15275	P78383
K15276	Q8TB61
K15277	Q9H1N7;A0A024R008;B2R8V5
K15278	Q969S0
K15280	Q9NQQ7
K15281	Q9NTN3;Q76EJ3;Q5M8T2;A0A024R9N5;B7Z9Y0
K15283	Q96K37;A0A024R7G7
K15285	Q7Z769;A0A024RB82
K15286	Q6ICL7
K15287	Q5T1Q4;Q8IXU6
K15288	Q8IY50;A4IF30;G3V4Z9
K15289	Q8WV83;A0A024RAD4
K14209	Q7Z2H8;Q495M3;Q495N2;Q6YBV0
K14990	Q9H2H9;A0A024R124
K14207	Q96QD8;A0A024R0W3
K13576	Q99624
K14991	Q969I6;A0A024R0X7
K14992	Q8WUX1;A0A024QYY0
K14993	Q8IZM9
K14994	Q9NVC3;A6NNN8
K14995	Q8NBW4;A0A024QZR9
K14996	Q9HBR0
K14997	Q08AI6
K14709	Q9NY26;Q9NP94;Q9BRY0
K14710	Q6P5W5
K14711	Q6ZMH5;A0A024RB24
K14712	Q13433
K14713	Q92504;A0A024RCX7
K14714	Q9C0K1;A0A024RDG0
K14715	Q9NUM3;C4N9M8
K14716	Q9ULF5;A0A024R3W5;Q05C42
K14717	Q8N1S5
K14718	Q504Y0
K14719	Q96H72
K14720	Q15043
K14685	Q9NP59
K15122	Q8IVJ1;Q96JW4;Q96GZ6;B2RMP2
K08230	Q8NBI5;A0A024R4Y2;B0AZP8
K15378	Q9Y2W3;Q9UMX9;Q5BKX6;A0A076YIB8;A0A076YGN1
K15379	Q96JT2
K20840	Q7Z3Q1;A0A024RDN9
K03327	Q96FL8;Q86VL8
K12306	Q6UXD7
K13861	Q6U841
K13862	Q8NBS3
K13575	Q9Y6R1
K13857	Q9BY07
K13858	Q9Y6M7
K13859	Q2Y0W8
K22117	Q9NWF4;Q9HAB3
K14620	Q9NQ40
K12343	P18405
K12344	P31213
K10956	P61619;Q9H9S3;B3KME8;Q8TC24;B3KNF6
K23679	Q8N2U9
K23680	Q8N755
K05044	P48066
K05045	P48065
K05046	Q9NSD5
K05047	Q9UN76;B2R8J1
K05048	Q9H2J7;Q9GZN6;Q9H1V8;Q96N87;Q9NP91
K05334	Q695T7
K13870	Q8TCU3
K13871	Q8TBB6
K17310	P0DJI8;P0DJI9;P35542;A0A096LPE2
K21797	Q9NTJ5
K21798	Q9Y2H2
K19894	Q8TDM5;A0A140VJU1
K17592	Q9NZJ4
K10684	Q9UBE0;A0A024R0R4
K10685	Q9UBT2
K01251	O43865;Q96HN2;P23526;A0A024R0A8;A0A384MTQ3
K19871	Q9NSC2;Q9Y467;Q9BXA9;Q9UJQ4;A9JR48;A0A384MEH2
K07277	Q9Y512
K15111	Q70HW3
K22697	Q96LT4
K22544	Q9Y3Z3;Q59H15
K23707	Q9NSI8
K23267	P02743;V9HWP0
K18849	Q1RMZ1
K14324	O00422
K19193	Q8TEE9
K19202	O75446
K12383	P17900
K12382	Q6NUJ1;P07602;A0A024QZQ2
K07953	Q9NR31;Q9Y6B6;Q5SQT9
K22642	O00631;A0A158RFT9
K00314	Q9UL12;A8K596
K18732	P82979
K22611	Q15020
K14767	Q9NQZ2
K16487	Q6UVJ0
K23705	O94885
K23706	O75995
K01071	Q9NV23
K00657	P21673;Q96F10;A0A384NQ10
K23225	Q01826;A0A024R2H1
K23226	Q9UPW6;A0A024R3U6;B3KPQ9
K05615	P43007
K16686	Q9H4B6
K14574	Q9Y3A5;A0A0S2Z5I7
K08858	Q52WX2;P0C264
K17285	Q13228;V9HWG1
K13280	P67812;Q9BY50;A0A024RC78
K20353	O15027;Q96JE7
K08520	Q96IW7;Q9BRL7;A0A024R2N5
K08517	O75396
K14006	Q15436;Q15437
K14007	O95486;O95487;P53992;O94855;A0A024QZM6;B4E205;A8K6V0
K14005	O94979;Q9NQW1
K14158	P13866
K14382	P31639
K14384	Q9NY91
K14385	Q92911
K14386	Q9Y289;Q9HD19
K14387	Q9GZV3;B2RCU2
K14388	Q8N695;Q1EHB4
K14389	Q2M3M2
K14390	A0PJK1
K14391	Q8WWX8
K00227	O75845;A0A024R3G4
K09481	P60468
K07342	P60059;A0A024QYZ0
K22461	Q92791
K05034	P30531
K05035	P23975;A0A024R6T9
K05036	Q01959
K05037	P31645;B2R7Y7
K05038	Q9Y345;P48067;Q4VAM6;Q4VAM4
K05039	P31641;Q59GD7;B4E140
K05040	Q99884
K05041	P48029;X5D9C4
K13167	O95104
K13191	Q9UPN6;B7Z3A4
K19995	O15126;O15127;O14828;Q969E2;Q8TAC9;A0A0A8K8F5;A0A140VK92
K11266	Q9Y6X3
K19998	Q8WVM8
K05461	P21583;A0A024RBC0
K19991	P05060
K01763	Q96I15;B4DDP9;A0A0A0MQU4;Q59FK2
K11461	Q96GD3
K11464	Q9UN30
K11465	Q9UQR0
K11466	Q8N228;B4E0X3
K04833	P35498
K04845	Q07699
K04834	Q99250
K04846	O60939;Q5U0K8
K04836	Q9NY46
K04847	Q9NY72;A0A024R3H7
K04837	P35499
K04848	Q8IWT1;B0YJ93
K04838	Q14524;H9KVD2
K04839	Q01118
K04840	Q9UQD0;Q6B4S4
K04841	Q15858
K04842	Q9Y5Y9
K04843	Q9UI33
K04824	P37088
K04825	P51168;B2R812
K04826	P51172
K04827	P51170;A5X2V1
K07152	O75880
K23755	O43819
K20316	Q9UIL1
K01027	P55809;Q9BYC2;A0A024R040
K13885	Q8WTV0;A0A024RBS4
K12384	Q14108;A0A024RDG6
K16175	Q14160;A0A0G2JNZ2
K14358	Q12765;Q96FV2;Q0VDG4;A0A090N7T9;Q0VDG5;A0A384NKK8
K09219	Q9BWW7;Q9NQ03
K04588	P47872;Q8IV17
K08876	Q96KG9
K17541	Q6P3W7
K14856	Q9NVU7
K06257	P18827
K16336	P34741;A0A024R9D1
K16337	O75056
K16338	P31431
K17254	O00560;A0A024R7Z5
K16488	Q86SQ7
K10031	P48061
K00234	P31040;A0A024QZ30
K00235	P21912
K18167	A6NFY7
K18168	Q9NX18
K17989	P20132;Q96GA7;A0A024RBL2;Q8WW81
K16353	Q7Z5N4;Q58EX2
K19201	Q9H7L9
K14026	Q9UBV2;Q5TEA6;Q3ZCU6
K19539	Q96T21
K14004	P55735
K08497	Q12981
K12275	Q99442
K09540	Q9UGP8;A0A0S2Z5M1
K05263	P09683
K14299	Q96EE3
K03833	P57772
K19874	Q9NZV5
K06544	Q14242
K14025	Q9BQE4
K22366	P62341
K10881	P60896;Q6IBB7
K06840	Q14563;Q13214;Q99985;O95025;O15041;Q13275;Q9NS98
K06521	Q9H3S1;Q9NPR2;Q9C0C4;Q92854;O95754;Q9NTN9
K06841	Q13591;Q9P283;X5DR95
K06842	Q9H2E6;Q9H3T3;Q9H3T2;Q8NFY4
K06529	O75326;B3KMH6
K15324	Q8WW01;B1ALV0
K15322	Q8NCE0
K15323	Q9BSV6;A0A024R4N9
K15326	Q7Z6J9
K08592	Q9P0U3;Q6N001
K03345	Q9HC62
K08593	Q9H4L4
K08594	Q96HI0
K08595	Q9GZR1;B3KMM0
K08596	Q9BQF6
K08597	Q96LD8
K16940	Q9P0V9;Q59H84
K16939	Q9NVA2;Q14141;Q92599;A0A384P5S0
K16938	Q8IYM1;Q9UH03;Q9UHD8
K16941	Q6ZU15
K08674	Q12884
K13737	Q8WYJ6;J3KNL2
K16942	Q15019
K04557	Q99719;X5DNA9
K16944	Q16181
K00058	O43175
K01079	P78330;A0A024RDL3
K23544	Q9NRX5;Q13530
K00831	Q9Y617;A0A024R222
K23429	A8MV23
K09501	P50454;A0A024R5K8;A8K259
K10141	Q9Y6P5;P58005
K20394	P58004
K23791	Q8N4B1;Q6ICB4
K11422	O15047
K11421	Q15047
K18494	Q96T68
K23217	Q9Y6X0
K11423	Q9BYW2
K19199	Q86TU7;A0A024R6K3
K23216	Q9C0A6
K05302	Q8TBK2
K11431	Q8WTS6
K11433	Q53H47
K10706	Q7Z333
K11290	Q01105;Q5VXV3
K13095	Q15637;A0A024R572
K12825	Q15459;A0A024R1K8
K12826	Q15428;Q05DF2
K12827	Q12874
K12828	O75533;B4DGZ4
K12829	Q13435
K12830	Q15393;A8K6V3
K12831	Q15427;B3KUJ0
K12832	Q9BWJ5
K12833	Q9Y3B4
K16489	A8K8P3
K10067	Q8IWL1;Q8IWL2;A0A024QZP2
K13219	P23246;A0A384N5Z8;Q86VG2
K02166	Q8N474
K02176	Q96HF1;B3KSM5;A0A140VJU3
K02185	Q6FHJ7
K02222	Q5T4F7
K10068	P35247
K23500	Q9H9B4;Q9BWM7;A0A1P0AYU5
K23501	Q96NB2
K23502	Q6P4A7
K23503	Q8TD22
K17547	Q9H5K3
K12565	Q16586;A0A0S2Z4Q1
K12566	Q16585;Q5U0N0
K12563	Q92629
K12564	Q13326
K11364	Q96ES7
K20065	Q9BQI5
K13302	O00141
K13303	Q9HBY8
K13304	Q96BR1;A0A024R807;Q5H9Q5
K20719	Q99720
K11580	Q5FBB7
K11581	Q562F6
K01634	O95470
K04716	Q9BX95
K04717	Q8IWX5
K21847	Q2NKQ1
K21851	O43147;B9A6J3
K20176	Q96HU1;B9A6J5
K12795	Q9Y2Z0;A8K7W3
K16365	O43765
K07990	O60880
K07989	O14796
K08273	Q9NP31
K23689	Q9BRG2;A8K2M8
K17577	Q9H788
K12459	Q9NRF2;Q9UQQ2;A0A024QZD2;B4DLN5;Q59H48;B3KNV5
K07193	O14492
K23690	Q8N5H7
K23701	Q6ZV89
K23714	Q5HYK7
K23715	A4FU49
K20066	Q9P0V3
K23740	P55822;O75368;Q9UJC5;Q9H299;V9HW48
K11247	Q99961;Q99962;Q99963;Q6FGM0;Q7Z376
K12470	Q96B97;Q5JPT6
K12171	Q7Z6J0;Q8TEC5;Q8TEJ3;Q08AM8
K20523	Q96HL8
K15009	Q9Y566;Q9UPX8;C0SPH0;A6NHU9
K23697	Q15464;Q96IW2;Q5VZ18;B4E1A9;B3KTY1
K06279	P29353
K17447	P98077
K17448	Q92529
K17449	Q6S5L8
K11988	Q15465
K03084	Q92835
K15909	O15357
K21953	Q8TBC3
K11248	Q9Y371;A0A140VJU5
K21269	Q9NR46;A0A024R896
K19613	Q9UQ13
K09331	O60902;O15266;A0A024R385
K11214	Q9UHJ6;A0A0B4J2A0
K15710	Q149N8;B3KX98
K06551	P78324;Q5TFQ8;Q9P1W8
K14764	Q6PI26
K18625	Q2M3G4;Q13796;Q8TF72;Q9ULL8;B3KY47
K20894	Q9H0F6;Q6PJD5
K10135	Q8N114
K17701	O43166
K17702	Q9P2F8
K17703	O60292;B2RWP0
K03792	Q9Y274
K00780	Q11201;A0A024R9L6
K03368	Q16842;A0A024QZA4;B3KXG9
K03494	Q11206
K03479	Q9NSC7
K06616	Q9UJ37;A0A024R8M1
K03373	Q8NDV1
K03374	Q9H4F1;A0A024R881
K03375	Q9BVH7
K03376	Q969X2;A0A0S2Z5G9
K03371	Q92185
K06612	Q92186;B2R9U8
K06613	O43173;Q59GW3
K06614	Q92187
K03369	O15466
K06615	P61647
K05970	Q9HAT2
K04506	Q8IUQ4
K08742	O43255
K22256	Q8IW03
K06253	P21815
K05304	Q9NR45
K00778	P15907
K00779	Q96JF0
K00781	Q11203
K03370	Q9UNP4
K06749	Q96LC7
K06750	Q96RL6
K10079	Q96PQ1
K06549	Q08ET2;O15389
K16352	Q6ZMC9
K05169	Q6IA17
K06738	O43699;A0A024R4K4
K06739	Q9Y286
K06748	Q9NYZ4
K06740	Q9Y336
K19008	A0A0B4J2F2;P57059
K16311	Q9H0K1;A0A024R3G7
K19009	Q9Y2K2
K12656	Q9BRV8
K14001	Q9H173;A0A0S2Z6B4
K09100	P81133;Q14190
K20410	Q9BPZ7
K11644	Q96ST3
K23213	O75182
K08013	Q96FS4
K11411	Q96EB6;A0A024QZQ1
K11412	Q8IXJ6
K11413	Q9NTG7
K11414	Q9Y6E7
K11415	Q9NXA8;A0A024R012
K11416	Q8N6T7
K11417	Q9NRC8
K16826	Q5JXA9;B3KTG0
K16827	Q9H106
K22744	O15304
K15614	Q15475
K19472	Q9NPC8;Q8TBA2
K19473	O95343;O95475;Q6P051
K15615	Q9UIU6
K19474	Q8N196
K17699	Q86WV1
K23471	O75563
K18499	P12757
K12599	Q15477;A0A1U9X8J1
K03094	P63208
K03875	Q13309;A0A024R069
K13863	P30825;A0A024RDQ9
K05742	P19634;B2RAH2
K14722	Q9UBY0
K12040	P48764
K13961	Q6AI14
K14723	Q14940;Q9NSW9
K12041	Q92581;Q96T83;A0A024R176
K14724	Q9Y2E8
K14725	Q8IVB4
K14726	Q4G0N8;Q5TAH2;B3KXW8
K06536	Q13291
K06511	Q9UIB8
K16852	Q96DU3
K06733	Q9NQ25
K16853	Q9P0V8
K16580	Q8ND83;Q9P270;A0A024R9T6;Q7L0J2
K23698	Q13239;Q9H6Q3
K18710	Q14493;B3KSC5;Q53XR2;B3KST9
K14210	Q07837;A0A0S2Z4E1
K10735	Q9BRT9
K05260	P01286
K06838	O75093;A6H8V1
K06839	O94813
K06850	O75094
K08836	Q9H2G2
K23638	P03973
K12819	O95391
K23681	P55000
K23682	P0DP57
K15078	Q9BQ83
K10484	Q8IY92
K04676	Q15797
K04500	Q15796;Q53XR6
K23605	P84022;A0A024R5Z3;Q9P0T0
K04501	Q13485;A0A024R274
K16790	Q99717;Q68DB7
K04677	O43541
K19631	O15105
K16791	O15198
K14440	Q9NZC9
K12486	Q8IYB5;Q8WU79
K19036	P38935
K06636	Q14683;Q8NDV3;A0A384MR33;Q68EN4
K06674	O95347;A0A024R158;Q05BV1;Q6IPS5;B3KMB1
K06669	Q9UQE7
K06675	Q9NTJ3;Q58F29
K22803	Q8IY18
K22804	Q96SB8;A0A2S1ZR87
K11727	P28370
K11647	P51531;P51532;A7E2E1;B4DSC8;Q8N9Q1
K11654	O60264
K11651	Q969G3;A0A024R1S7
K23611	Q8TEV9
K11087	P62314
K11096	P62316
K11088	P62318
K08873	Q96Q15
K11125	Q9UPR3
K14409	Q92540;Q6TV06
K18734	Q8ND04
K18735	Q9H0W8;A0A024R0Q0
K23113	A6NHR9
K13129	Q16637
K12259	Q9NWM0
K06226	Q99835
K11649	Q92922;Q8TAQ2;A0A024RB22;Q58EY4
K14439	Q9H4L7
K11650	Q96GM5;Q92925;Q6STE5
K18634	Q8NCR6
K04714	Q86VZ5;Q8NHU3;A0A024RDH4
K05237	P61278
K13111	Q2TAY7;A0MNN4
K04678	Q9HCE7;Q9HAU4;Q96DE7
K10800	Q53HV7;A0A024RAZ8
K11426	Q8NB12;Q9NRG4;Q9H7B4;Q5HYE8
K15296	P54920;A0A024R0R9
K21198	Q99747;Q6FHY4
K05707	O95863
K05706	O43623
K09217	Q3KNW1
K20002	O95295
K00669	Q16613;F1T0I5
K04558	Q9Y6H5
K15979	Q7KZF4;A0A140VK49
K11648	Q12824
K12188	Q96H20
K13108	Q8TAD8;B1AK66
K08508	O00161;A8K287
K18211	P60880
K08509	O95721
K18212	Q5SQN1
K15208	Q16533;B2RC42
K15209	Q13487
K15210	Q92966
K09453	Q5SXM2;A0A024R8F4
K15211	O75971;A0A024R5X1
K13153	Q9BV90;Q4TT61
K12846	Q8WVK2;A8K513
K12857	Q96DI7;A0MNP2
K13156	Q6IEG0
K08802	Q9NRH2;A0A024R2Y6
K11091	P09012
K11984	O43290
K12847	Q53GS9
K06063	Q13573
K17924	Q9Y5X0;Q9Y5W9;B4DJM0;A0A024RA70
K17918	Q9UMY4;O60493
K17925	Q9Y5W8;A0A024R9Z9;Q86XC4
K17926	Q9Y5W7
K17927	Q9NRS6;E5KQS5
K17928	P57768
K17929	Q15036
K17923	Q96RF0;Q8WV41;Q9Y5X1
K17930	Q92543
K17917	Q13596;O60749
K17931	Q7Z614
K17932	Q969T3
K17941	Q96L94;Q9Y343;A0A024R5Y5
K17887	Q9H3E2
K17936	Q96L92
K17935	Q8TEQ0
K17921	Q5VWJ9;Q9UNH6;E9PNL2;B4DP69
K17937	Q8N9S9
K17920	Q86XE0;Q9Y5X3;Q9UNH7;A0A0A0MRI2
K17919	O95219
K17922	Q9Y5X2
K06548	Q9BZZ2
K03460	P46721;A0A024RAT5
K05043	Q9Y6L6;Q9NPD5;G3V0H7;A0A024RAU7;Q05CV5;B3KP78
K08747	Q9NYB5
K14345	Q92959
K14352	O94956;A0A024R5I4
K14353	Q9UIG8
K14354	Q96BD0
K14355	Q6ZQN7
K14356	Q9H2Y9;B3KUC7
K14357	Q86UG4;A0A140VJU7
K00637	P35610;O75908
K14346	Q3KNW5
K04694	O15524;Q4JHT5
K04695	O14508;A0A024RBD2
K04696	O14543;Q6FI39
K04697	Q8WXH5;Q5H9R6
K04698	O75159
K04699	O14544;O14512;A0A024R379
K04565	P00441;V9HWC9
