C00001	H2O;Water
C21133	Deoxyviolacein
C21134	Protoviolaceinic acid;Protoviolaceinate
C21135	Violaceinate;Violaceinic acid
C21136	Violacein
C21137	dTDP-3-amino-4-keto-2,3,6-trideoxy-L-allose;dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose
C21138	trans-2-Octenal;(E)-Oct-2-enal
C21139	(S)-3-Acetyloctanal
C21140	Aurachin B
C21141	4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C21142	3,4-Dihydroxy-2-methy-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C21143	2'-N-Hydroxy-4-oxorifampicin;2'-N-Hydroxyrifampicin
C21144	1,3,7-Trimethyl-5-hydroxyisourate
C21145	Protoasukamycin
C21146	4-Hydroxyprotoasukamycin
C21147	Asperlicin C
C21148	Asperlicin E
C21149	Dibenzothiophene-5-oxide
C21150	Dibenzothiophene sulfone;Dibenzothiophene-5,5-dioxide
C21151	Diphthine methyl ester-[translation elongation factor 2];EF-2 diphthine methyl ester;Peptide diphthine methyl ester
C21152	N,N'-Diacetylchitobiose 6'-phosphate
C21153	Adenosylcobalamin 5'-phosphate
C21154	N-Methylmyosmine;3-(4,5-Dihydro-1-methyl-1H-pyrrol-2-yl)pyridine
C21155	Isatinate
C21156	Acarbose 7-phosphate;Acarbose 7IV-phosphate
C21157	alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A 1-diphosphate;KDO2-lipid A 1-diphosphate
C21158	Nucleoside 3',5'-bisphosphate
C21159	2,4-Dinitroanisole
C21160	L-Alanyl-gamma-D-glutamyl-L-lysine;L-Ala-gamma-D-Glu-L-Lys
C21161	Mitomycin A
C21162	Mitomycin B
C21163	6-Demethylmitomycin A;7-Demethylmitomycin A
C21164	7-Demethylmitomycin B;6-Demethylmitomycin B
C21165	9-Methyl-(4E,8E)-sphinga-4,8-dienine ceramide;(E,E)-9-Methylsphinga-4,8-dienine ceramide
C21166	4-Hydroxy-3-methylbenzaldehyde
C21167	4-Hydroxy-3-methylbenzoate;4-Hydroxy-m-toluate
C21168	4-Hydroxyisophthalate;4-Hydroxy-1,3-benzenedicarboxylate
C21169	N1,N8-Bis(4-coumaroyl)spermidine;N1,N10-Dicoumaroyl spermidine
C21170	N1,N8-Bis(sinapoyl)spermidine;N1,N10-Disinapoyl spermidine
C21171	[Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine
C21172	[Wnt]-L-serine
C21173	7-O-Ethanolaminephospho-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A;PEtN-KDO2-lipid A
C21174	PEtN-KDO2-lipid IV(A);7-O-Ethanolaminephospho-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IV(A)
C21175	Dihydrocaffeoyl-CoA;3-(3,4-Dihydroxyphenyl)propanoyl-CoA;Hydrocaffeyl-CoA
C21176	3''-Oxoribostamycin
C21177	Prokaryotic ubiquitin-like protein;Pup;[Prokaryotic ubiquitin-like protein]-L-glutamate
C21178	N6-([Prokaryotic ubiquitin-like protein]-gamma-L-glutamyl)-[protein]-L-lysine;Pupylated protein
C21179	[Prokaryotic ubiquitin-like protein]-L-glutamine
C21180	2-Dehydro-3,6-dideoxy-6-sulfo-D-gluconate;2-Keto-3,6-dideoxy-6-sulfogluconate
C21181	(2S)-3-Sulfolactaldehyde
C21182	6-Deoxy-6-sulfogluconate;6-Deoxy-6-sulfo-D-gluconate
C21183	Bursehernin;(-)-Bursehernin;(3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(3,4-dimethoxyphenyl)methyl]oxolan-2-one
C21184	(3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one;(-)-5'-Demethylyatein
C21185	(5R,5aR,8aR,9S)-9-Hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one;(-)-4'-Demethylepipodophyllotoxin;4'-Demethylepipodophyllotoxin
C21186	6-Tuliposide B;6-O-[(3S)-3,4-Dihydroxy-2-methylenebutanoyl]-D-glucose
C21187	Tulipalin B;(4S)-4-Hydroxy-3-methylideneoxolan-2-one
C21188	Protein N(omega),N(omega)-dimethyl-L-arginine;Protein asymmetric dimethylarginine
C21189	Protein symmetric dimethylarginine;Protein N(omega),N(omega)'-dimethyl-L-arginine
C21190	Protein N5-methyl-L-arginine
C21191	Pluviatolide;(-)-Pluviatolide;(3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one
C21192	Epoxypheophorbide a
C21193	Hexa-acyl lipid A in lipopolysaccharide
C21194	Hepta-acyl lipid A in lipopolysaccharide
C21195	N-(3-Hydroxybutanoyl)-L-homoserine lactone;3-Hydroxy-C4-HSL;N-[(RS)-3-Hydroxybutyryl]-L-homoserine lactone
C21197	N-Hexanoyl-L-homoserine lactone;C6-HSL;N-[(3S)-Tetrahydro-2-oxo-3-furanyl]-hexanamide
C21198	N-(3-Oxohexanoyl)-L-homoserine lactone;3-Oxo-C6-HSL;N-(beta-Ketocaproyl)-L-homoserine lactone
C21199	N-[(3S)-Tetrahydro-2-oxo-3-furanyl]octanamide;N-Octanoyl-L-homoserine lactone;C8-HSL
C21200	3-Hydroxy-N-[(3S)-tetrahydro-2-oxo-3-furanyl]-octanamide;3-OH-C8-HSL;N-3-Hydroxyoctanoyl-L-homoserine lactone
C21201	3-Oxo-C12-HSL;N-3-Oxo-dodecanoyl-L-homoserine lactone;3-Oxo-N-[(3S)-tetrahydro-2-oxo-3-furanyl]-dodecanamide
C21202	cis-2-Dodecenoic acid;BDSF
C21203	Geranyl phosphate
C21204	5-epi-Valiolol 7-phosphate
C21205	1-epi-Valienol 7-phosphate
C21206	1,7-Diphospho-1-epi-valienol
C21207	NDP-1-epi-valienol 7-phosphate
C21208	dTDP-acarviose-7-phosphate
C21209	1-epi-Valienol 1-phosphate
C21210	NDP-1-epi-valienol
C21211	Salbostatin 6'-phosphate
C21212	Dolichyl phosphate;Archaeal dolichyl phosphate
C21213	Archaeal dolichyl 3-O-(2,3-diacetamido-2,3-dideoxy-beta-D-glucuronsyl)-N-acetyl-alpha-D-glucosaminyl phosphate;Dol-P-GlcNAc-Glc-2,3-diNAcA
C21214	Dimethylallyl phosphate
C21215	Reduced prFMN;Prenylated FMNH2
C21216	Validamine 7-phosphate
C21217	Geranylgeranyl bacteriochlorophyllide a
C21218	Validone 7-phosphate
C21219	Validoxylamine A 7'-phosphate
C21220	AIP-1
C21221	Competence-stimulating peptide;CSP
C21222	Competence-stimulating peptide;CSP
C21223	Blp;Bacteriocin-like peptide
C21224	SHP2;Short hydrophobic peptide 2
C21225	SHP3;Short hydrophobic peptide 3
C21226	cCF10
C21227	iCF10
C21228	cAD1
C21229	iAD1
C21230	ComX pheromone
C21231	PhrA pentapeptide
C21232	PhrC pentapeptide
C21233	PhrE pentapeptide
C21234	PhrF pentapeptide
C21235	PhrG pentapeptide
C21236	PhrH pentapeptide
C21237	PhrK pentapeptide
C21238	NprX peptide
C21239	PapR peptide
C21240	Gentamicin C 2''-phosphate
C21241	AIP-2
C21242	AIP-3
C21243	AIP-4
C21244	AgrD peptide
C21245	AgrD1 peptide
C21246	Gelatinase biosynthesis-activating pheromone;GBAP
C21247	2-Amino-5-epi-valiolone
C21248	2-Aminovalienone
C21249	Cetoniacytone B
C21250	2-Methyl-trans-aconitate
C21251	6'-Oxokanamycin X
C21252	6'-Oxokanamycin C
C21253	Kanamycin D
C21254	Nebramycin factor 3;3''-Deamino-3''-hydroxykanamycin B
C21255	Lividamine
C21256	6'-Oxolividamine
C21257	4'-Oxolividamine;3'-Deoxy-4'-oxoparomamine
C21258	4'-Oxonebramine
C21259	Nebramine;3'-Deoxyneamine
C21260	5''-Phosphoribosylparomamine
C21261	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II
C21262	6'''-Deamino-6'''-hydroxyparomomycin II
C21263	6'''-Deamino-6'''-oxoparomomycin II
C21264	5'''-epi-Lividomycin B
C21265	3''-Oxogentamicin A2
C21266	3''-Demethyl-gentamicin A;3''-Amino-3''-deoxygentamicin A2
C21267	6'-Oxogentamicin X2
C21268	6'-Oxo-G418
C21269	Antibiotic JI-20Ba;JI-20Ba
C21270	Gentamicin C2a
C21272	p-Aminophenylpyruvic acid;3-(4-Aminophenyl)pyruvate;p-Aminophenylpyruvate
C21273	Benfluralin
C21275	Mycolactone C
C21276	Mycolactone D
C21277	Mycolactone E
C21278	Mycolactone F
C21279	ONX 0801;BGC 945
C21280	AG 2034
C21281	Demethyl-4-deoxygadusol;2,3,5-Trihydroxy-5-(hydroxymethyl)cyclohex-2-en-1-one
C21282	2-epi-Valiolone;(2S,3S,4S,5S)-2,3,4,5-Tetrahydroxy-5-(hydroxymethyl)cyclohexan-1-one
C21283	3-Indoleacrylate;(2E)-3-(1H-Indol-3-yl)prop-2-enoate;3-(Indol-3-yl)acrylate
C21284	Fe-coproporphyrin III;Coproheme III
C21285	D-Erythrulose 1-phosphate
C21286	L-Erythrulose 4-phosphate
C21287	2-Hydroxyisobutanoyl-CoA;2-Hydroxy-2-methylpropanoyl-CoA
C21288	(2S,3R)-2-Hydroxy-3-(indol-3-yl)butanoate;Indolmycenate
C21289	(R)-3-(Indol-3-yl)-2-oxobutyrate;(R)-beta-Methylindolepyruvate;(R)-3-(Indol-3-yl)-2-oxobutanoate
C21290	2-Methylpropane-1,2-diol;Isobutene glycol
C21291	2-Hydroxy-2-methylpropanal;2-Hydroxyisobutyraldehyde
C21292	Maduropeptin chromophore;(-)-Maduropeptin chromophore
C21293	Validamycin B
C21294	D-Erythritol 1-phosphate
C21295	5-Methylphenazine-1-carboxylate
C21296	1alpha-Hydroxytestosterone
C21297	2-Hydroxy-2-methylpropanoate;2-Hydroxyisobutyrate
C21298	2,6-Dihydroxybenzoate;gamma-Resorcylate
C21299	RCH2NHR'
C21300	R'NH2
C21301	Kedarcidin chromophore
C21303	(25R)-26-Hydroxycholest-4-en-3-one
C21304	(25S)-26-Oxocholest-4-en-3-one
C21305	(25R)-26-Oxocholest-4-en-3-one
C21306	3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21307	3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21308	(S)-beta-Tyrosine
C21309	(S)-beta-Tyrosyl-[pcp]
C21310	(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate
C21311	4'-Hydroxyphenyl-3-ketopropionyl-[pcp];3-(4-Hydroxyphenyl)-3-oxopropanoyl-[pcp]
C21312	6-Methylsalicylyl-CoA
C21313	3,6-Dimethylsalicylyl-CoA
C21314	NDP-D-mannose
C21315	NDP-4-oxo-6-deoxy-D-mannose
C21316	NDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose
C21317	NDP-2-amino-4-oxo-2,6-dideoxy-D-galactose
C21318	NDP-2-amino-2,6-dideoxy-D-galactose
C21319	NDP-2-methylamino-2,6-dideoxy-D-galactose
C21320	3,6,8-Trihydroxy-2-naphthoate;3,6,8-Trihydroxy-2-naphthoic acid
C21321	3,6,7,8-Tetrahydroxy-2-naphthoate
C21322	3-Hydroxy-6,7,8-trimethoxy-2-naphthoate
C21323	3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoic acid;3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoate
C21324	3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA
C21325	2-Aza-L-tyrosine;Azatyrosine
C21326	(R)-2-Aza-beta-tyrosine
C21327	(R)-2-Aza-beta-tyrosyl-[pcp]
C21328	(R)-2-Aza-3-chloro-beta-tyrosyl-[pcp]
C21329	Benzoyl cyanide;Benzoyl nitrile
C21330	Aurachin C
C21331	2-Hydroxy-1a-methyl-7a-[(2E,6E)-farnesyl]-1a,2-dihydrooxireno[2,3-b]quinolin-7(7aH)-one;Aurachin C epoxide
C21332	8-Dehydro-3-deoxy-D-manno-octulosonate;3,8-Dideoxy-8-oxo-D-manno-octulosonate
C21333	8-Amino-3,8-dideoxy-D-manno-octulosonate;Kdo8N
C21334	CMP-8-amino-3,8-dideoxy-beta-D-manno-octulosonate;CMP-Kdo8N
C21335	[(1->2)-beta-D-Mannosyl]n;1,2-beta-Oligomannan;1,2-beta-D-Mannooligosaccharide
C21336	beta-1,2-Mannobiose;beta-D-Mannopyranosyl-(1->2)-D-mannopyranose
C21337	Calicheamicinone
C21338	Calicheamicin T0
C21339	4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0
C21340	Calicheamicin PsAg
C21341	Calicheamicin alpha1(I)
C21342	Calicheamicin alpha3(I)
C21343	Orsellinate-[acp]
C21344	2-Methoxyorsellinate-[acp]
C21345	5-Iodo-2-methoxyorsellinate-[acp]
C21346	3-Hydroxy-5-iodo-2-methoxyorsellinate-[acp]
C21347	4-Hydroxy-5-iodo-2,3-dimethoxy-6-methylbenzoate-[acp];5-Iodo-2,3-dimethoxyorsellinate-[acp]
C21348	dTDP-4-hydroxyamino-4,6-dideoxy-alpha-D-glucose
C21349	dTDP-4-deoxy-4-thio-alpha-D-digitoxose
C21350	dTDP-3-O-methyl-beta-L-rhamnose
C21351	dTDP-4-oxo-alpha-D-xylose;dTDP-4-dehydro-alpha-D-xylose;dTDP-4-keto-alpha-D-xylose
C21352	dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene;dTDP-2-deoxy-4-keto-alpha-D-pentos-2-ene
C21353	dTDP-4-oxo-2-deoxy-beta-L-xylose;dTDP-4-keto-2-deoxy-beta-L-xylose;dTDP-4-dehydro-2-deoxy-beta-L-xylose
C21354	dTDP-4-amino-2,4-dideoxy-beta-L-xylose
C21355	dTDP-4-methylamino-2,4-dideoxy-beta-L-xylose
C21356	dTDP-4-ethylamino-3-O-methyl-2,4-dideoxy-L-threo-pentopyranose
C21357	3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp];3-Hydroxy-4,6,8,10,12,14-hexadecahexaenoyl-[acp]
C21358	1,3,5,7,9,11,13-Pentadecaheptaene
C21361	3-(2-Chloro-3-hydroxy-4-methoxyphenyl)-3-hydroxypropanoyl-[pcp]
C21362	dTDP-3-methyl-4-oxo-alpha-D-ribopyranose
C21363	dTDP-madurosamine;dTDP-4-amino-3-methyl-4-deoxy-alpha-D-ribopyranose
C21364	[Fructose-bisphosphate aldolase]-L-lysine
C21365	[Fructose-bisphosphate aldolase]-N6,N6,N6-trimethyl-L-lysine
C21366	3-O-[N-Acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-(6-phospho)mannosyl]-L-threonyl-[protein];O3-[N-Acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-(6-phospho)mannosyl]-L-threonyl-[protein]
C21367	Valienol 1-phosphate
C21368	GDP-valienol
C21369	N-(2-Methylpropanyl)hydroxylamine;Isobutylhydroxylamine;N-Hydroxy-2-methylpropanamine;N-(2-Methylpropyl)hydroxylamine
C21370	(S)-Nandinine
C21371	Validone
C21372	3-(Hydrohydroxyphosphorylmethyl)malate;3-Phosphinomethylmalate
C21373	(3R)-3,4-Epoxy-3-methylbut-1-ene
C21374	2-(Glutathion-S-yl)-2-methylbut-3-en-1-ol
C21375	3-Hydroxy-4-methylanthranilyl-[aryl-carrier protein];3-Hydroxy-4-methylanthranilyl-[acp]
C21376	3,5-Dihydroxy-4-methylanthranilyl-[acp];3,5-Dihydroxy-4-methylanthranilyl-[aryl-carrier protein]
C21377	[F-actin]-L-methionine
C21378	[F-actin]-L-methionine-(R)-S-oxide
C21379	(2S,3R)-Flavan-3-ol
C21380	(2S,3S)-Flavan-3-ol
C21381	Anthocyanidin with a 3-hydroxy group
C21382	R-THMF;(2R,4S)-2-Methyl-2,3,3,4-tetrahydroxytetrahydrofuran
C21383	3-Deoxy-D-glycero-D-galacto-non-2-ulosonate 9-phosphate;KDN 9-phosphate;2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate
C21384	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate;CMP-KDN;CMP-3-deoxy-D-glycero-beta-D-galacto-non-2-ulosonate
C21385	trans-12-Hydroxyjasmonate;trans-12-Hydroxyjasmonic acid
C21386	L-Leucyl-L-arginyl-protein;N-Terminal L-leucyl-L-arginyl-[protein]
C21387	L-Leucyl-L-lysyl-protein;N-Terminal L-leucyl-L-lysyl-[protein]
C21388	L-Lysyl-protein;N-Terminal L-lysyl-[protein]
C21389	tert-Butyl alcohol;tert-Butanol
C21390	Butan;Butane
C21391	11a-Hydroxytetracycline
C21392	Multi-methyl-branched acyl-[acp]
C21393	(2R,4R,6R,8R)-2,4,6,8-Tetramethyloctacosanoyl-[acp];C32-Mycocerosyl-[acp]
C21394	C27-Mycolipanoyl-[acp];(2S,4S,6S)-2,4,6-Trimethyltetracosanoyl-[acp]
C21395	dTDP-4-(methylamino)-2,3,4,6-tetradeoxy-D-glucose;dTDP-4-(methylamino)-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose
C21396	ED3A;Ethylenediaminetriacetic acid;Ethylenediaminetriacetate
C21397	Ethylenediamine-N,N'-diacetic acid;Ethylenediaminediacetate;EDDA
C21398	Methanesulfinic acid;Methanesulfinate
C21399	Isocaproate;4-Methylpentanoate
C21400	Isocaproyl-CoA;4-Methylpentanoyl-CoA
C21401	TAA;tert-Amyl alcohol;2-Methyl-2-butanol
C21402	2-Methyl-3-buten-2-ol;Isoprenyl alcohol
C21403	2-Acetamidoethylphosphonate
C21404	N-Ethylacetamide
C21405	(4aS,10bR)-Noroxomaritidine
C21406	(4aR,10bS)-Noroxomaritidine
C21407	7-(Hydroxymethyl)bacteriochlorophyllide c
C21408	(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate
C21409	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1,6-dicarboxylate
C21410	(5aS)-5,5a-Dihydrophenazine-1,6-dicarboxylate
C21411	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1-carboxylate
C21412	(10aS)-10,10a-Dihydrophenazine-1-carboxylate
C21413	(1R)-1,4,5,10-Tetrahydrophenazine-1-carboxylate
C21414	Naphthalene-1,2,4,8-tetrol
C21415	Valienol 7-phosphate
C21416	2-Amino-1,5-anhydro-2-deoxyglucitol
C21417	(2R,3R)-Dihydroflavonol
C21418	(2R,3S,4S)-Leucoanthocyanidin;(2R,3S,4S)-Flavan-3,4-diol
C21419	1-(3,4-Dimethoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol
C21420	3,4-Dimethoxybenzyl alcohol;(3,4-Dimethoxyphenyl)methanol;Veratryl alcohol
C21421	(3,4-Dimethoxyphenyl)methanol radical
C21422	1-(4-Hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol
C21423	1,2-Dihydro-beta-NAD
C21424	1,6-Dihydro-beta-NAD
C21425	Abieta-8,11,13-triene
C21426	3-Vinyl bacteriochlorophyllide d
C21427	8,12-Diethyl-3-vinylbacteriochlorophyllide d
C21428	12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d
C21429	12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d
C21430	Malonamoyl-[acyl-carrier protein];Malonamoyl-[acp]
C21431	8-Ethyl-12-methylbacteriochlorophyllide d
C21432	8,12-Diethylbacteriochlorophyllide d
C21433	12-Ethyl-8-propylbacteriochlorophyllide d
C21434	12-Ethyl-8-isobutylbacteriochlorophyllide d
C21435	Geranylgeranyl bacteriochlorophyllide b
C21436	4-Methylamino-4-de(dimethylamino)anhydrotetracycline
C21437	[Sulfur-carrier protein]-Gly-Gly-L-Cys;[Sulfur-carrier protein]-L-cysteine
C21438	11a-Hydroxyoxytetracycline
C21439	11a-Hydroxy-7-chlortetracycline
C21440	[Protein]-S-sulfanyl-L-cysteine
C21441	Bacteriochlorophyllide g
C21442	Phenazine-1-carboxylate
C21443	N-Demethylindolmycin
C21444	Indolmycin
C21445	17-(4-Hydroxyphenyl)heptadecanoyl adenylate
C21446	17-(4-Hydroxyphenyl)heptadecanoate
C21447	19-(4-Hydroxyphenyl)nonadecanoyl adenylate
C21448	19-(4-Hydroxyphenyl)nonadecanoate
C21449	Lithocholoyl-CoA
C21450	4-(2-Hydroxyethoxycarbonyl)benzoate;4-[(2-Hydroxyethoxy)carbonyl]benzoate;Mono(ethylene terephthalate);Mono(2-hydroxyethyl) terephthalate
C21451	Poly(ethylene terephthalate);(Ethylene terephthalate)n;Polyethylene terephthalate
C21452	2-Aminobenzoylacetyl-CoA
C21453	2-Aminobenzoylacetate
C21454	beta-D-Mannopyranosyl-(1->2)-beta-D-mannopyranosyl-(1->2)-D-mannopyranose;beta-1,2-Mannotriose
C21455	N-Terminal L-leucyl-L-glutamyl-[protein];L-Leucyl-L-glutamyl-protein
C21456	N-Terminal L-glutamyl-[protein];L-Glutamyl-protein
C21457	L-Leucyl-L-aspartyl-protein;N-Terminal L-leucyl-L-aspartyl-[protein]
C21458	N-Terminal L-aspartyl-[protein];L-Aspartyl-protein
C21459	6-Hydroxyferuloyl-CoA
C21460	(3-Hydroxy-4-methylanthranilyl)adenylate;2-Amino-3-hydroxy-4-methylbenzoyl-AMP;3-Hydroxy-4-methylanthraniloyl-AMP
C21461	Kdo2-lipid A 1-(2-aminoethyl diphosphate)
C21462	Kdo2-lipid A 4'-(2-aminoethyl diphosphate)
C21463	Kdo2-lipid A 1,4'-bis(2-aminoethyl diphosphate)
C21464	4-O-[(2R)-1-Glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C21465	N-Terminal L-asparaginyl-[protein];L-Asparaginyl-protein
C21466	[Protein]-Nomega-(1-hydroxy-2-oxopropyl)-L-arginine;Protein Nomega-(1-hydroxy-2-oxopropyl)-L-arginine
C21467	Protein N6-(1-hydroxy-2-oxopropyl)-L-lysine;[Protein]-N6-(1-hydroxy-2-oxopropyl)-L-lysine
C21468	Protein S-(1-hydroxy-2-oxopropyl)-L-cysteine;[Protein]-S-(1-hydroxy-2-oxopropyl)-L-cysteine
C21469	7alpha,12alpha-Dihydroxy-3-oxochol-4-en-24-oyl-CoA
C21470	12alpha-Hydroxy-3-oxochola-4,6-dien-24-oyl-CoA
C21471	3-Oxo-Delta4-chenodeoxycholyl-CoA;7alpha-Hydroxy-3-oxochol-4-en-24-oyl-CoA
C21472	3-Oxochola-4,6-dien-24-oyl-CoA;3-Oxo-Delta4,6-lithocholyl-CoA
C21473	(1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate
C21474	5,10-Dihydrophenazine-1,6-dicarboxylate
C21475	5,10-Dihydrophenazine
C21476	Dibenzopyrazine;Phenazine;Acridizine
C21477	1-Hydroxyphenazine
C21478	Erastin
C21479	(1S,3R)-RSL3;RSL3
C21480	1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine
C21481	1-Octadecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycero-3-phosphoethanolamine
C21482	18:0/15-HETE-PE;1-Octadecanoyl-2-(15S-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine
C21483	18:0/15-HpETE-PE;1-Octadecanoyl-2-(15S-hydroperoxy-5Z,8Z,11Z,13E-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine
C21484	1-Octadecanoyl-sn-glycero-3-phosphoethanolamine
C21485	Molybdopterin cytosine dinucleotide cofactor;Cytidylyl molybdenum cofactor
C21486	Thio-molybdenum cofactor
C21487	L-Cysteinyl-protein
C21488	S-Anthraniloyl-L-cysteinyl-protein
C21489	S-Octanoyl-L-cysteinyl-protein
C21490	1-(2-Aminophenyl)decane-1,3-dione
C21491	(S)-Tembetarine
C21492	4'-O-Methylxanthohumol
C21493	alpha-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C21494	alpha-L-Fucosyl-(1->2)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R
C21495	8-Geranylumbelliferone
C21496	8-Geranylesculetin
C21497	4-Hydroxybenzoyl-adenylate;4-Hydroxybenzoyl-AMP
C21498	2-Acylphloroglucinol
C21499	2-Acyl-4-prenylphloroglucinol
C21500	2-Acyl-4,6-bisprenylphloroglucinol
C21501	beta-Bitter acid;2-Acyl-4,6,6-trisprenylcyclohexa-2,4-dien-1-one
C21502	4-O-Di[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C21503	4-O-[1-D-Ribitylphospho-(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C21504	4-O-[(1-D-Ribitylphospho)n-(1-D-ribitylphospho)-(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C21505	4-Hydroxybenzoyl-[acyl-carrier protein];4-Hydroxybenzoyl-[acp]
C21506	17-(4-Hydroxyphenyl)heptadecanoyl-[acyl-carrier protein];17-(4-Hydroxyphenyl)heptadecanoyl-[acp]
C21507	19-(4-Hydroxyphenyl)nonadecanoyl-[acp];19-(4-Hydroxyphenyl)nonadecanoyl-[acyl-carrier protein]
C21508	4-O-(D-Ribitylphospho)n-di[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C21509	Jasmonoyl-L-amino acid
C21510	Ni-sirohydrochlorin;Nickel-sirohydrochlorin
C21511	Nickel-sirohydrochlorin a,c-diamide;Ni-sirohydrochlorin a,c-diamide
C21512	15,17(3)-Seco-F430-17(3)-acid
C21513	(+)-Turicine;Turicine;cis-4-Hydroxy-D-proline betaine
C21514	D-Proline betaine
C21515	Trandolaprilat
C21516	9-Hydroxyrisperidone;Paliperidone
C21517	Perindoprilat
C21518	AGN 190299;Tazarotenic acid
C21519	Imidaprilat
C21520	18-502;4-(3-t-Butylamino-2-hydroxypropoxy)-2-methylindole;4-(2-Hydroxy-3-tert-butylaminopropoxy)-2-methylindole
C21521	DMAE;Desglymidodrine;2-Amino-1-(2,5-dimethoxyphenyl)ethanol;Deglymidodrine
C21522	Tebipenem
C21523	L-Tagatose
C21524	D-Altritol
C21525	2-Methylbutanenitrile
C21526	Menaquinone-9
C21527	2-Methyl-3-[(2E,10E,14E,18E,22E,26E,30E,33E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-2,10,14,18,22,26,30,33-octaen-1-yl]naphthalene-1,4-dione;MK-9(II-H2);beta-Dihydromenaquinone-9
C21528	(9Z,12Z)-Hexadeca-9,12,15-trienoyl-CoA
C21529	(9Z,12Z)-Octadeca-9,12-dienoyl-[glycerolipid];Linoleoyl-[glycerolipid]
C21530	(5Z,9Z,12Z)-Octadeca-5,9,12-trienoyl-[glycerolipid];Pinolenoyl-[glycerolipid]
