dr:D00001	Water (JP17/USP)
dr:D08351	Phenformin (BAN)
dr:D08352	Phenformin hydrochloride
dr:D08353	Phenindamine (INN)
dr:D08354	Phenindione (INN)
dr:D08355	Pheniramine (INN)
dr:D08356	Phenobarbital diethylamine
dr:D08357	Phenothrin (INN)
dr:D08358	Phenoxybenzamine (INN)
dr:D08359	Phenoxyethanol (NF)
dr:D08360	Phenoxymethylpenicillin calcium
dr:D08361	Phentetramine
dr:D08362	Phentolamine (INN)
dr:D08363	Phenylbutazone calcium
dr:D08364	Phenylbutazone sodium
dr:D08365	Phenylephrine (INN)
dr:D08366	Phenylephrine tartrate
dr:D08367	Phenylphenol
dr:D08368	Phenylpropanolamine (INN)
dr:D08369	Polyphloroglucinol phosphate
dr:D08370	Pholedrine (INN)
dr:D08371	Pholedrine sulfate
dr:D08372	Phosmet (BAN)
dr:D08373	Phoxim (BAN)
dr:D08374	Piketoprofen (INN)
dr:D08375	Piketoprofen hydrochloride
dr:D08376	Pilocarpine borate
dr:D08377	Pilsicainide (INN)
dr:D08378	Pioglitazone (INN)
dr:D08379	Pipemidic acid (INN)
dr:D08380	Piperacillin (INN)
dr:D08381	Piperazine hexahydrate
dr:D08382	Piperidolate (INN)
dr:D08383	Piperonyl butoxide (BAN)
dr:D08384	Pipethanate (INN)
dr:D08385	Pipotiazine (INN)
dr:D08386	Pirarubicin hydrochloride
dr:D08387	Pirbuterol (INN)
dr:D08388	Pirenoxine sodium salt
dr:D08389	Pirenzepine (INN)
dr:D08390	Pirisudanol dimaleate
dr:D08391	Pirlimycin (INN)
dr:D08392	Pirlindole (INN)
dr:D08393	Pirlindole hydrochloride
dr:D08394	Pirmenol (INN)
dr:D08395	Piroheptine (INN)
dr:D08396	Pivampicillin (INN)
dr:D08397	Pizotifen malate
dr:D08398	Policosanol
dr:D08399	Polihexanide (INN)
dr:D08400	Polygeline (BAN)
dr:D08401	Polymyxin B (INN)
dr:D08402	Poractant alfa (BAN)
dr:D08403	Potassium
dr:D08404	Prajmalium bitartrate (INN)
dr:D08405	Pramiracetam (INN)
dr:D08406	Pramiverine (INN)
dr:D08407	Pramocaine (INN)
dr:D08408	Pranlukast (INN)
dr:D08409	Prasterone (USAN/INN)
dr:D08410	Pravastatin (INN)
dr:D08411	Prazosin (INN)
dr:D08412	Prednisolone pivalate
dr:D08413	Prednisolone sodium metazoate (USAN)
dr:D08414	Prednisolone 21-(sodium tetrahydrophthalate)
dr:D08415	Prednisolone steaglate (BAN)
dr:D08416	Prednisone acetate
dr:D08417	Prenoxdiazine hydrochloride
dr:D08418	Pridinol (INN)
dr:D08419	Pridinol hydrochloride
dr:D08420	Primaquine (INN)
dr:D08421	Procainamide (INN)
dr:D08422	Procaine (INN)
dr:D08423	Procarbazine (INN)
dr:D08424	Procaterol (INN)
dr:D08425	Procyclidine (INN)
dr:D08426	Profenamine (INN)
dr:D08427	Proglumetacin (INN)
dr:D08428	Proguanil (INN)
dr:D08429	Proligestone (INN)
dr:D08430	Promazine (INN)
dr:D08431	Promegestone (INN)
dr:D08432	Promethazine maleate
dr:D08433	Promolate (INN)
dr:D08434	Propacetamol hydrochloride
dr:D08435	Propafenone (INN)
dr:D08436	Propamidine isetionate
dr:D08437	Propetamphos (BAN)
dr:D08438	Propicillin (BAN)
dr:D08439	Propiomazine maleate
dr:D08440	Sodium propionate
dr:D08441	Propiverine (INN)
dr:D08442	Propoxur (BAN)
dr:D08443	Propranolol (INN)
dr:D08444	Propylhexedrine hydrochloride
dr:D08445	Protamine hydrochloride (BAN)
dr:D08446	Prothipendyl hydrochloride
dr:D08447	Protriptyline (INN)
dr:D08448	Proxymetacaine (INN)
dr:D08449	Pseudoephedrine (INN)
dr:D08450	Psoralene (DCF)
dr:D08451	Pyrantel (INN)
dr:D08452	Pyrethrin I
dr:D08453	Pargyline (INN)
dr:D08454	Pyridoxine (INN)
dr:D08455	Pyriproxyfen
dr:D08456	Quetiapine (INN)
dr:D08457	Quinagolide hydrochloride (BAN)
dr:D08458	Quinidine (BAN)
dr:D08459	Quinidine phenylethylbarbiturate
dr:D08460	Quinine (BAN)
dr:D08461	Quinine dihydrochloride
dr:D08462	Quinisocaine (INN)
dr:D08463	Rabeprazole (INN)
dr:D08464	Racecadotril (INN)
dr:D08465	Raloxifene (INN)
dr:D08466	Ramosetron (INN)
dr:D08467	Ranelic acid (INN)
dr:D08468	Strontium ranelate
dr:D08469	Rasagiline (USAN/INN)
dr:D08470	Raubasine (DCF)
dr:D08471	Razoxane (INN)
dr:D08472	Reboxetine (INN)
dr:D08473	Remifentanil (INN)
dr:D08474	Reproterol (INN)
dr:D08475	Resmethrin
dr:D08476	Resocortol (INN)
dr:D08477	Retinol propionate
dr:D08478	Ribostamycin (INN)
dr:D08479	Rifampicin sodium
dr:D08480	Rifamycin sodium (USAN)
dr:D08481	Rilmazafone (INN)
dr:D08482	Rilmenidine (INN)
dr:D08483	Rimantadine (INN)
dr:D08484	Risedronic acid (INN)
dr:D08485	Rizatriptan (INN)
dr:D08486	Robenidine (INN)
dr:D08487	Romifidine (INN)
dr:D08488	Amlodipine besilate and atorvastatin calcium
dr:D08489	Ropinirole (USAN/INN)
dr:D08490	Ropivacaine (INN)
dr:D08491	Rosiglitazone (INN)
dr:D08492	Rosuvastatin (INN)
dr:D08493	Dorzolamide hydrochloride and timolol maleate
dr:D08494	Roxatidine (INN)
dr:D08495	Roxatidine acetate (BAN)
dr:D08496	Rufloxacin hydrochloride
dr:D08497	Rupatadine fumarate (JAN)
dr:D08498	Ruscogenin
dr:D08499	Rutoside (INN)
dr:D08500	Saccharin sodium
dr:D08501	Trolamine salicylate (USP)
dr:D08502	Salinomycin (INN)
dr:D08503	Toceranib (USAN)
dr:D08504	Samarium Sm 153 lexidronam (USP)
dr:D08505	Sapropterin (INN)
dr:D08506	Sarafloxacin (INN)
dr:D08507	Sarmazenil (INN)
dr:D08508	Sarpogrelate (INN)
dr:D08509	Sermorelin (INN)
dr:D08510	Sertaconazole nitrate
dr:D08511	Setiptiline (INN)
dr:D08512	Sevelamer (INN)
dr:D08513	Sibutramine (INN)
dr:D08514	Sildenafil (INN)
dr:D08515	Silibinin (INN)
dr:D08516	Sitagliptin (prop.INN)
dr:D08517	Sitaxentan sodium (USAN)
dr:D08518	beta-Sitosterol
dr:D08519	Smectite
dr:D08520	Sobrerol
dr:D08521	Sodium aurothiosulfate (INN)
dr:D08522	Solifenacin (INN)
dr:D08523	Somatorelin (INN)
dr:D08524	Sorafenib (USAN/INN)
dr:D08525	Sotalol (INN)
dr:D08526	Spectinomycin (INN)
dr:D08527	Spiramycin adipate
dr:D08528	Spiramycin embonate
dr:D08529	Spirapril (INN)
dr:D08530	Varidase (JAN)
dr:D08531	Streptomycin (INN)
dr:D08532	Succinimide
dr:D08533	Sulbactam (INN)
dr:D08534	Sulbenicillin (INN)
dr:D08535	Sulconazole (INN)
dr:D08536	Suleparoid
dr:D08537	Sulfaclozine (INN)
dr:D08538	Sulfadimethoxine sodium (USP)
dr:D08539	Sulfadimidine sodium
dr:D08540	Sulfamethoxypyridazine sodium salt
dr:D08541	Sulfametrole (INN)
dr:D08542	Sulfamidochrysoidine
dr:D08543	Sulfanilamide (INN)
dr:D08544	Toceranib phosphate (USAN)
dr:D08545	Sulfiram (INN)
dr:D08546	Sulglicotide (INN)
dr:D08547	Sulodexide (INN)
dr:D08548	Sulphobromophthalein (BAN)
dr:D08549	Sultopride (INN)
dr:D08550	Sultosilic acid (INN)
dr:D08551	Sultosilic acid piperazine salt
dr:D08552	Sunitinib (INN)
dr:D08553	Suxethonium chloride (INN)
dr:D08554	Tacalcitol (INN)
dr:D08555	Tacrine (INN)
dr:D08556	Tacrolimus (INN)
dr:D08557	Talampicillin (INN)
dr:D08558	Talipexole (INN)
dr:D08559	Tamoxifen (INN)
dr:D08560	Tamsulosin (INN)
dr:D08561	Tandospirone (INN)
dr:D08562	Tasonermin (INN)
dr:D08563	Iclaprim mesylate (USAN)
dr:D08565	Telmesteine (INN)
dr:D08566	Temocapril (INN)
dr:D08567	Temocillin disodium salt
dr:D08568	Tenoic acid (DCF)
dr:D08569	Terazosin (INN)
dr:D08570	Terbutaline (INN)
dr:D08571	Terlipressin acetate (JAN)
dr:D08572	Tertatolol hydrochloride
dr:D08573	Testosterone decanoate
dr:D08574	Testosterone phenylpropionate
dr:D08575	Tetrabenazine (JAN/INN)
dr:D08576	Tetramisole (INN)
dr:D08577	Tetridamine maleate
dr:D08578	Tetryzoline (INN)
dr:D08579	Thebacon hydrochloride
dr:D08580	Thiamine (INN)
dr:D08581	Monophosphothiamine (INN)
dr:D08582	Thiamphenicol glycinate acetylcysteinate
dr:D08583	Thiamphenicol aminoacetate hydrochloride (JAN)
dr:D08584	Thioacetazone (INN)
dr:D08585	Thioproperazine (INN)
dr:D08586	Thiosalicylic acid
dr:D08587	Thonzylamine (INN)
dr:D08588	Tiagabine (INN)
dr:D08589	Tianeptine sodium
dr:D08590	Tiapride (INN)
dr:D08591	Tiaprost (INN)
dr:D08592	Tiaramide (INN)
dr:D08593	Ticarcillin (INN)
dr:D08594	Ticlopidine (INN)
dr:D08595	Tiemonium methylsulfate
dr:D08596	Tiletamine (INN)
dr:D08597	Tilidine (INN)
dr:D08598	Tilisolol (INN)
dr:D08599	Tiludronic acid (INN)
dr:D08600	Timolol (INN)
dr:D08601	Timonacic (INN)
dr:D08602	Tinoridine (INN)
dr:D08603	Tioguanine (INN)
dr:D08604	Tipepidine (INN)
dr:D08605	Tipranavir (INN)
dr:D08606	Tirilazad (INN)
dr:D08607	Tirofiban (INN)
dr:D08608	Tiropramide hydrochloride (JAN)
dr:D08609	Tisokinase (JAN)
dr:D08610	Tixocortol (INN)
dr:D08611	Tizanidine (INN)
dr:D08612	Tocopherol succinate
dr:D08613	Todralazine (BAN)
dr:D08614	Tolazoline (INN)
dr:D08615	Toldimfos (INN)
dr:D08616	Teneligliptin (INN)
dr:D08617	Tolperisone (INN)
dr:D08618	Topotecan (BAN)
dr:D08619	Torasemide sodium
dr:D08620	Toremifene (INN)
dr:D08621	Tositumomab (INN)
dr:D08622	Tositumomab 131 iodine
dr:D08623	Tramadol (INN)
dr:D08624	Tramazoline (INN)
dr:D08625	Tranylcypromine (INN)
dr:D08626	Trazodone (INN)
dr:D08627	Trenbolone (INN)
dr:D08628	Treprostinil monosodium salt
dr:D08629	Tretoquinol (INN)
dr:D08630	Tribuzone (prop.INN)
dr:D08631	Carmegliptin (USAN/INN)
dr:D08632	Tricaine mesilate
dr:D08633	Trichloroacetic acid
dr:D08634	Triclofos (INN)
dr:D08635	Degarelix acetate (USAN)
dr:D08636	Trifluoperazine (INN)
dr:D08637	Trifluperidol hydrochloride
dr:D08638	Trihexyphenidyl (INN)
dr:D08639	Trimebutine (INN)
dr:D08640	Trimecaine (INN)
dr:D08641	Trimecaine hydrochloride
dr:D08642	Trimetazidine (INN)
dr:D08643	Trimethobenzamide (INN)
dr:D08644	Trimethoprim lactate
dr:D08645	Tripelennamine (INN)
dr:D08646	Triphosadenine (DCF)
dr:D08647	Triphosadenine disodium salt
dr:D08648	Triprolidine (INN)
dr:D08649	Triptorelin acetate
dr:D08650	Troclosene (DCF)
dr:D08651	Troclosene sodium
dr:D08652	Tromantadine hydrochloride
dr:D08653	Tropatepine hydrochloride
dr:D08654	Trovafloxacin (INN)
dr:D08655	Tubocurarine chloride (INN)
dr:D08656	Aleplasinin (USAN/INN)
dr:D08657	Apricoxib (USAN/INN)
dr:D08658	Tymazoline hydrochloride
dr:D08659	3,5-Dibromo-L-tyrosine
dr:D08660	Ulobetasol (INN)
dr:D08661	Unoprostone (INN)
dr:D08662	Urapidil hydrochloride
dr:D08663	Mersalyl (DCF)
dr:D08664	Valaciclovir (INN)
dr:D08665	Valnemulin (INN)
dr:D08666	Valnemulin hydrochloride (BAN)
dr:D08667	Calcium valproate
dr:D08668	Vardenafil (USAN/INN)
dr:D08669	Varenicline (INN)
dr:D08670	Venlafaxine (INN)
dr:D08671	Vetrabutine (INN)
dr:D08672	Vetrabutine hydrochloride
dr:D08673	Viloxazine (INN)
dr:D08674	Viminol 4-hydroxybenzoate
dr:D08675	Vinblastine (INN)
dr:D08676	Vinburnine (INN)
dr:D08677	Vincamine (INN)
dr:D08678	Vincamine hydrochloride
dr:D08679	Vincristine (INN)
dr:D08680	Vinorelbine (INN)
dr:D08681	Vonicog alfa (USAN)
dr:D08682	Warfarin (INN)
dr:D08683	Xylazine (USP/INN)
dr:D08684	Xylometazoline (INN)
dr:D08685	Yohimbine (DCF)
dr:D08686	Ziconotide acetate
dr:D08687	Ziprasidone (INN)
dr:D08688	Zofenopril (INN)
dr:D08689	Zoledronic acid (INN)
dr:D08690	Zolpidem (INN)
dr:D08691	Zuclopenthixol acetate
dr:D08692	Zuclopenthixol decanoate
dr:D08693	Zuclopenthixol dihydrochloride
dr:D08694	dl-Methylephedrine hydrochloride and chlorpheniramine maleate
dr:D08695	dl-Methylephedrine hydrochloride, dihydrocodeine phosphate, diprophylline, diphenhydramine salicylate, acetaminophen and bromovalerylurea
dr:D08696	Acetaminophen, ephedra herb, scopolia extract, caffeine and sodium benzoate and magnesium oxide
dr:D08697	Platycodon fluidextract, glycyrrhiza extract, plantago herb extract, peony root extract and dihydrocodeine phosphate
dr:D08698	Platycodon fluidextract, plantago herb extract and peony root extract
dr:D08699	Salmeterol xinafoate and fluticasone propionate
dr:D08700	Bifidobacterium and lactomin
dr:D08701	Lactomin and amylolytic bacillus
dr:D08702	Lactomin, amylolytic bacillus and clostridium butyricum
dr:D08703	L-Glutamic acid, pipethanate hydrochloride and aluminum hydroxide-sodium bicarbonate co-precipitate
dr:D08704	Magnesium aluminometasilicate, methylmethionine sulfonium chloride, magnesium carbonate and precipitated calcium carbonate
dr:D08705	Digestive enzyme derived from aspergillus
dr:D08706	l-Menthol, cinnamon bark, gentian, zanthoxylum fruit, ginger and sodium bicarbonate
dr:D08707	l-Menthol, gentian, scopolia extract powder and sodium bicarbonate
dr:D08708	Licase (alpha Amylase), aluminum hydroxide, dried, magnesium carbonate, sodium bicarbonate and precipitated calcium carbonate
dr:D08709	Picrasma wood and sodium bicarbonate
dr:D08710	Sulfur, fennel, glycyrrhiza and senna leaf
dr:D08711	Coptis rhizome, senna leaf, rhubarb, magnesium oxide and magnesium sulfate hydrate
dr:D08712	Chimaphila umbellata, populus tremula, pulsatilla pratensis mill, equisetum arvense and wheat germ oil
dr:D08713	Alkylpolyaminoethylglycine hydrochloride and polyoxyethylenealkylphenyl ether
dr:D08714	d-Camphor and mentha oil
dr:D08715	dl-Camphor, dl-menthol, methyl salicylate and diphenhydramine
dr:D08716	dl-Camphor, l-menthol, glycyrrhetinic acid and methyl salicylate
dr:D08717	dl-Camphor, l-menthol, glycol salicylate, methyl salicylate, diphenhydramine and benzyl nicotinate
dr:D08718	dl-Camphor, l-menthol and methyl salicylate
dr:D08719	dl-Camphor, l-menthol, methyl salicylate, diphenhydramine, nonanoic acid vanillylamide and mentha oil
dr:D08720	dl-Camphor, l-menthol, methyl salicylate and diphenhydramine hydrochloride
dr:D08721	dl-Camphor, l-menthol, methyl salicylate, thymol and mentha oil
dr:D08722	dl-Camphor, l-menthol, methyl salicylate and mentha oil
dr:D08723	dl-Camphor, capsicum extract and methyl salicylate
dr:D08724	dl-Camphor, glycol salicylate and nonanoic acid vanillylamide
dr:D08725	dl-Camphor, methyl salicylate and mentha oil
dr:D08726	dl-Camphor, methyl salicylate, mentha oil and eucalyptus oil
dr:D08727	dl-Camphor and methyl salicylate
dr:D08728	l-Menthol and glycol salicylate
dr:D08729	Salicylic acid and zinc oxide
dr:D08730	Glycol salicylate and nonanoic acid vanillylamide
dr:D08731	Methyl salicylate and diphenhydramine
dr:D08732	Diphenhydramine and glyteer
dr:D08733	Dexamethasone and glyteer
dr:D08734	Dry distillation tar of defatting soybean
dr:D08735	Visnadine (INN)
dr:D08736	Sodium fluoride and phosphoric acid
dr:D08738	Rosskastanien extract
dr:D08739	L-Cysteine and ascorbic acid
dr:D08740	Yellow beewax, almond oil and salicylic acid
dr:D08741	Adenine, sodium citrate hydrate, citric acid hydrate, glucose and potassium phosphate, monobasic
dr:D08742	Sodium citrate hydrate, citric acid hydrate, glucose and potassium phosphate, monobasic
dr:D08743	D-Mannitol, adenine, potassium phosphate, monobasic, sodium citrate hydrate, citric acid hydrate, glucose and sodium chloride
dr:D08744	ACD-A solution and MAP solution
dr:D08745	CPD solution and MAP solution
dr:D08746	Hot water extract of Mycobacterium tuberculosis
dr:D08747	DL-Methionine and glycyrrhizic acid
dr:D08748	Liver hydrolysate, cysteine hydrochloride, choline bitartrate, inositol and cyanocobalamin
dr:D08749	Hydroxocobalamin and isotonic sodium chloride solution
dr:D08750	Spherical carbonaceous adsorbent
dr:D08751	Semi-alkaline proteinase
dr:D08752	DNase and fibrinolysin
dr:D08753	Bromelains and trypsin, crystallized
dr:D08754	L-Arginine and L-arginine hydrochloride
dr:D08755	Coriolus versicolor polysaccharide
dr:D08756	Picibanil
dr:D08757	[N,N'-ethylenedi-L-cysteinate (3-)] oxotechnetium (99mTc) diethylester
dr:D08758	Technetium (99mTc) N-pyridoxyl-5-methyltryptophan
dr:D08759	Galactosyl human serum albumin diethylenetriamine pentaacetic acid technetium (99mTc)
dr:D08760	Diethylenetriamine pentaacetic acid and diethylenetriamine pentaacetic acid technetium (99mTc)
dr:D08761	Sodium pertechnetate (99mTc) and stannous chloride, anhydrous
dr:D08762	Technetium (99mTc) labelled macroaggregated human serum albumin
dr:D08763	99mTc-MIBI and tetrakis (2-methosyisobutykisonitrile) copper (I) tetrafluoroboric acid
dr:D08764	Technetium (99mTc) hydroxymethylene diphosphonate
dr:D08765	Sodium pyrophosphate hydrate and technetium (99mTc) pyrophosphate
dr:D08766	Phytate sodium hydrate and technetium (99mTc) phytic acid
dr:D08767	Benzoylmercaptoacetylglycylglycylglycine and mercaptoacetylglycylglycylglycine technetium (99mTc)
dr:D08768	Promethazine hibenzate
dr:D08769	Diphenhydramine hydrochloride and calcium bromide
dr:D08770	Allergen extract (therapeutic)
dr:D08772	Cefoperazone sodium and sulbactam sodium (JP17)
dr:D08773	Ampicillin sodium and cloxacillin sodium hydrate
dr:D08774	Amoxicillin hydrate, clarithromycin and lansoprazole
dr:D08775	Abacavir sulfate and lamivudine
dr:D08776	Pneumococcus vaccine
dr:D08777	Freeze-dried live attenuated varicella vaccine
dr:D08778	Freeze-dried, inactivated hepatitis A vaccine (JAN)
dr:D08779	pH4 Treated human normal immunoglobulin
dr:D08780	Human C1 inactivator, freeze-dried concentrated
dr:D08781	Polyethylene glycol treated human anti-HBs immunoglobulin
dr:D08782	Polyethylene glycol treated human anti-tetanus immunoglobulin
dr:D08783	Polyethylene glycol treated human normal immunoglobulin
dr:D08784	Freeze-dried pH4 treated human normal immunoglobulin
dr:D08785	Freeze-dried ion-exchange-resin treated human normal immunoglobulin
dr:D08786	Freeze-dried sulfonated human normal immunoglobulin
dr:D08787	Freeze-dried pepsin treated human normal immunoglobulin
dr:D08788	Freeze-dried polyethylene glycol treated human normal immunoglobulin
dr:D08789	Freeze-dried human anti-D (Rho) immunoglobulin
dr:D08790	Freeze-dried human anti-HBs immunoglobulin
dr:D08791	Freeze-dried human anti-tetanus immunoglobulin
dr:D08792	Freeze-dried human fibrinogen
dr:D08793	Human blood-coagulation factor eight inhibitor bypassing activity complex, dried
dr:D08794	Human blood-coagulation factor IX complex, dried
dr:D08795	Human anti-thrombin III, freeze-dried concentrated
dr:D08796	Human activated protein C, freeze-dried concentrated
dr:D08797	Freeze-dried human blood-coagulation factor IX
dr:D08798	Freeze-dried human blood-coagulation factor VIII
dr:D08799	Human anti-HBs immunoglobulin
dr:D08800	Human haptoglobin
dr:D08801	Human anti-tetanus immunoglobulin
dr:D08802	Human blood-coagulation factor XIII fraction, dried
dr:D08803	Varicella virus antigen
dr:D08804	Freeze-dried live attenuated measles-rubella combined vaccine
dr:D08805	Interferon gamma-n1 (JAN)
dr:D08806	Histamine dihydrochloride and human normal immunoglobulin
dr:D08807	Anti-human T-lymphocyte immunoglobulin, rabbit (JAN)
dr:D08808	Anti-human thymocyte immunoglobulin, equine (JAN)
dr:D08809	Aromatic powder
dr:D08810	Quinine hydrochloride, sodium chloride, tartaric acid and sucrose
dr:D08811	Dicyclohexyl ammonium nitrite and benzalkonium chloride
dr:D08812	Factor XIII with fibrinogen
dr:D08813	Aprotinin, thrombin and human fibrinogen
dr:D08814	Potassium chloride, calcium chloride hydrate, sodium chloride, magnesium chloride and Sodium bicarbonate
dr:D08815	Monobasic sodium phosphate monohydrate and dibasic sodium phosphate anhydrous
dr:D08816	Potassium chloride, sodium chloride, sodium bicarbonate and sodium sulfate, dried
dr:D08817	Tetramethylthiuram disulfide and beta-ethoxyethyl methacryl resin
dr:D08818	Concentrated frozen-thawed human red blood cells
dr:D08819	Synthetic blood
dr:D08820	Fresh-frozen human plasma
dr:D08821	Concentrated human red blood cells
dr:D08822	Washed human red blood cells
dr:D08823	Placenta extract
dr:D08824	Cyanocobalamin and lamb's gastric mucosa extract
dr:D08825	Hemolingual
dr:D08826	Killed escherichia coli suspension
dr:D08827	Hydrocortisone and killed escherichia coli suspension
dr:D08828	Eksalb
dr:D08829	Hydroxocobalamin acetate, pyridoxal phosphate hydrate, fursultiamine hydrochloride and riboflavin
dr:D08830	Retinol palmitate, thiamine nitrate, riboflavin, pyridoxine hydrochloride, cyanocobalamin, ascorbic acid, ergocalciferol, tocopherol acetate, calcium pantothenate, nicotinamide and folic acid
dr:D08831	Special powdered milk
dr:D08832	Digestive enzyme preparation
dr:D08833	Digestive enzyme with bionattomin
dr:D08834	Stomachic and digestive
dr:D08835	Zinc oxide, lard, hardened oil and white beeswax
dr:D08836	Acesulfame potassium (NF)
dr:D08837	Aclidinium bromide (JAN/USAN/INN)
dr:D08838	Acotiamide hydrochloride (USAN)
dr:D08839	Adipic acid (NF)
dr:D08840	Adipiplon (USAN)
dr:D08841	Agatolimod (USAN)
dr:D08842	Agatolimod sodium (USAN)
dr:D08843	Albiglutide (USAN)
dr:D08844	Albinterferon alfa-2b (USAN)
dr:D08845	Aleglitazar (USAN)
dr:D08846	Alfadex (INN/NF)
dr:D08847	Alferminogene tadenovec (USAN/INN)
dr:D08848	Alfimeprase (USAN/INN)
dr:D08849	Aluminum sulfate (USAN)
dr:D08850	Amibegron (USAN/INN)
dr:D08851	Amibegron hydrochloride (USAN)
dr:D08852	Amitivir (USAN/INN)
dr:D08853	Ammonium sulfate (NF)
dr:D08854	Amrubicin (USAN/INN)
dr:D08855	Anacetrapib (JAN/USAN)
dr:D08856	Anamorelin hydrochloride (JAN/USAN)
dr:D08857	Anrukinzumab (USAN)
dr:D08858	Antithrombin alfa (INN/USAN)
dr:D08859	Apratastat (USAN/INN)
dr:D08860	Apremilast (JAN/USAN)
dr:D08861	Arbaclofen placarbil (USAN/INN)
dr:D08862	Aspartame acesulfame (NF)
dr:D08863	Atizoram (USAN/INN)
dr:D08864	Azilsartan (JAN/USAN/INN)
dr:D08865	Azilsartan kamedoxomil (USAN)
dr:D08866	Baminercept (USAN/INN)
dr:D08867	Bapineuzumab (USAN/INN)
dr:D08868	Becocalcidiol (USAN/INN)
dr:D08869	Begacestat (USAN/INN)
dr:D08870	Belinostat (USAN/INN)
dr:D08871	Berubicin hydrochloride (USAN)
dr:D08872	Besifloxacin hydrochloride (USAN)
dr:D08873	Betrixaban (USAN)
dr:D08874	Bevasiranib sodium (USAN)
dr:D08875	Bismuth citrate (USP)
dr:D08876	Boceprevir (INN/USAN)
dr:D08877	Briobacept (USAN)
dr:D08878	Brivanib alaninate (JAN/USAN/INN)
dr:D08879	Brivaracetam (JAN/USAN/INN)
dr:D08880	Carfilzomib (JAN/USAN/INN)
dr:D08881	Cediranib (USAN/INN)
dr:D08882	Candelilla wax (NF)
dr:D08883	Cediranib maleate (JAN/USAN)
dr:D08884	Ceftaroline fosamil (USAN/INN)
dr:D08885	Ceftobiprole (USAN/INN)
dr:D08886	Ceftobiprole medocaril (USAN)
dr:D08887	Cenersen sodium (USAN)
dr:D08888	Cetyl palmitate (NF)
dr:D08889	Cevipabulin succinate (USAN)
dr:D08890	Choline fenofibrate (USAN/INN)
dr:D08891	Cintredekin besudotox (USAN/INN)
dr:D08892	Clevidipine (USAN/INN)
dr:D08893	Cobiprostone (USAN)
dr:D08894	Copper undecylenate (USAN)
dr:D08895	Corifollitropin alfa (INN/USAN)
dr:D08896	Dacetuzumab (USAN)
dr:D08897	Dapagliflozin (USAN/INN)
dr:D08898	Darinaparsin (JAN/USAN)
dr:D08899	Deferitrin (USAN/INN)
dr:D08900	Ridaforolimus (JAN/USAN)
dr:D08901	Degarelix (INN/USAN)
dr:D08902	Delmitide acetate (USAN)
dr:D08903	Dexlansoprazole (INN/USAN)
dr:D08904	Diethylene glycol monoethyl ether (NF)
dr:D08905	Digalloyl trioleate (USAN)
dr:D08906	Diisopropanolamine (NF)
dr:D08907	Dovitinib lactate (USAN)
dr:D08908	Eglumegad (INN)
dr:D08909	Elesclomol (USAN)
dr:D08910	Enclomiphene (USAN)
dr:D08911	Epetirimod (INN/USAN)
dr:D08912	Epetirimod esylate (USAN)
dr:D08913	Eribaxaban (USAN)
dr:D08914	Eribulin mesylate (USAN)
dr:D08915	Erythritol (NF)
dr:D08916	Ethopabate (USP)
dr:D08917	Ezatiostat hydrochloride (USAN)
dr:D08918	Falimarev (USAN)
dr:D08919	Faropenem medoxomil (USAN)
dr:D08920	Ferric carboxymaltose (JAN/USAN/INN)
dr:D08921	Ferric subsulfate (USP)
dr:D08922	Ferric sulfate (USP)
dr:D08923	Fesoterodine fumarate (JAN/USAN)
dr:D08924	Zidapamide (USAN)
dr:D08925	Folitixorin calcium (USAN)
dr:D08926	Galageenan (NF)
dr:D08927	Gellan gum (NF)
dr:D08928	Golotimod (USAN/INN)
dr:D08929	Hymetellose (INN/NF)
dr:D08930	Hypromellose acetate succinate (JP17/NF)
dr:D08931	Icomucret (USAN)
dr:D08932	Imexon (USAN/INN)
dr:D08933	Inotuzumab ozogamicin (USAN/INN)
dr:D08934	Iosimenol (INN/USAN)
dr:D08935	Ispronicline (INN/USAN)
dr:D08936	Labetuzumab (INN/USAN)
dr:D08937	Labradimil (INN/USAN)
dr:D08938	Laquinimod sodium (USAN)
dr:D08939	Laromustine (USAN)
dr:D08940	Laropiprant (INN/USAN)
dr:D08941	Levamlodipine malate (USAN)
dr:D08942	Lucatumumab (USAN)
dr:D08943	Lusupultide (INN/USAN)
dr:D08944	Milatuzumab (USAN)
dr:D08945	Milveterol hydrochloride (USAN)
dr:D08946	Mipomersen sodium (USAN)
dr:D08947	Motesanib diphosphate (USAN)
dr:D08948	Myrrh (USP)
dr:D08949	Naveglitazar (USAN/INN)
dr:D08950	Neratinib (USAN/INN)
dr:D08951	Nesbuvir (USAN)
dr:D08952	Nifungin (USAN/INN)
dr:D08953	Nilotinib (USAN/INN)
dr:D08954	Obatoclax mesylate (USAN)
dr:D08955	Odanacatib (JAN/USAN)
dr:D08956	Omacetaxine mepesuccinate (USAN)
dr:D08957	Onabotulinumtoxin A (USAN)
dr:D08958	Ospemifene (INN/USAN/BAN)
dr:D08959	Otelixizumab (USAN)
dr:D08960	Pagibaximab (INN/USAN)
dr:D08961	Palm kernel oil (NF)
dr:D08962	Pamabrom (USP)
dr:D08963	Pamapimod (INN/USAN)
dr:D08964	Perampanel (USAN)
dr:D08965	Perflubrodec (USAN/INN)
dr:D08966	Phenylephrine bitartrate (USP)
dr:D08967	Phenyltoloxamine citrate (USP)
dr:D08968	Picoplatin (INN/USAN/BAN)
dr:D08969	Pimavanserin tartrate (USAN)
